Umpire,ERA,Rating
Mike Estabrook,3.92,Extreme Pitchers
Phil Cuzzi,3.93,Extreme Pitchers
Bill Miller,3.95,Extreme Pitchers
Doug Eddings,3.95,Extreme Pitchers
Alex MacKay,3.96,Extreme Pitchers
Ryan Blakney,3.96,Extreme Pitchers
Ron Kulpa,3.97,Extreme Pitchers
Cory Blaser,3.97,Extreme Pitchers
Nestor Ceja,3.97,Extreme Pitchers
CB Bucknor,3.98,Extreme Pitchers
Austin Jones,3.98,Extreme Pitchers
Brennan Miller,3.98,Extreme Pitchers
Emil Jimenez,4,Pitchers
Gabe Morales,4,Pitchers
Jeremie Rehak,4,Pitchers
Paul Clemons,4.01,Pitchers
Vic Carapazza,4.01,Pitchers
Jim Wolf,4.01,Pitchers
Dan Merzel,4.01,Pitchers
Tony Randazzo,4.02,Pitchers
Rob Drake,4.02,Pitchers
Nick Mahrley,4.02,Pitchers
Edwin Jimenez,4.02,Pitchers
Adam Hamari,4.02,Pitchers
Ryan Wills,4.03,Pitchers
Dillon Wilson,4.03,Pitchers
John Bacon,4.03,Pitchers
David Rackley,4.03,Pitchers
D.J. Reyburn,4.03,Pitchers
Brian O'Nora,4.03,Pitchers
Junior Valentine,4.03,Pitchers
Steven Jaschinski,4.03,Pitchers
Chris Segal,4.04,Neutral
Jeremy Riggs,4.04,Neutral
Roberto Ortiz,4.04,Neutral
Adam Beck,4.04,Neutral
Chris Conroy,4.04,Neutral
Ryan Additon,4.04,Neutral
Dexter Kelley,4.05,Neutral
Will Little,4.05,Neutral
Lance Barrett,4.05,Neutral
Jacob Metz,4.05,Neutral
Brian Walsh,4.05,Neutral
John Tumpane,4.05,Neutral
Tom Hanahan,4.05,Neutral
Marvin Hudson,4.05,Neutral
Mike Muchlinski,4.05,Neutral
Laz Diaz,4.05,Neutral
Alex Tosi,4.06,Neutral
Bruce Dreckman,4.06,Neutral
John Libka,4.06,Neutral
Brock Ballou,4.07,Neutral
Louie Krupa,4.07,Neutral
Jen Pawol,4.07,Neutral
Tyler Jones,4.07,Neutral
Mark Ripperger,4.08,Hitters
Nate Tomlinson,4.08,Hitters
Derek Thomas,4.08,Hitters
Larry Vanover,4.08,Hitters
Jansen Visconti,4.08,Hitters
Felix Neon,4.08,Hitters
Chad Whitson,4.08,Hitters
Quinn Wolcott,4.08,Hitters
David Arrieta,4.08,Hitters
Chris Guccione,4.08,Hitters
Manny Gonzalez,4.08,Hitters
Tripp Gibson,4.08,Hitters
Dan Bellino,4.08,Hitters
Andy Fletcher,4.08,Hitters
Jordan Baker,4.08,Hitters
Malachi Moore,4.08,Hitters
Erich Bacchus,4.08,Hitters
Alan Porter,4.08,Hitters
Stu Scheurwater,4.09,Hitters
Dan Iassogna,4.09,Hitters
Angel Hernandez,4.09,Hitters
Charlie Ramos,4.1,Hitters
Hunter Wendelstedt,4.1,Hitters
Jonathan Parra,4.1,Hitters
Edwin Moscoso,4.1,Hitters
Sean Barber,4.1,Hitters
Brian Knight,4.11,Hitters
Todd Tichenor,4.11,Hitters
James Hoye,4.11,Hitters
Ben May,4.11,Hitters
Mark Wegner,4.11,Hitters
Adrian Johnson,4.12,Extreme Hitters
Shane Livensparger,4.12,Extreme Hitters
Clint Vondrak,4.12,Extreme Hitters
Ramon De Jesus,4.12,Extreme Hitters
Chad Fairchild,4.12,Extreme Hitters
Carlos Torres,4.13,Extreme Hitters
Lance Barksdale,4.14,Extreme Hitters
Mark Carlson,4.14,Extreme Hitters
Willie Traynor,4.14,Extreme Hitters
Nic Lentz,4.15,Extreme Hitters
Scott Barry,4.16,Extreme Hitters
Alfonso Marquez,4.17,Extreme Hitters
James Jean,4.17,Extreme Hitters
