Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Paul Skenes (43804345),Paul Skenes,43804345,P,9700,PIT@MIA 08/11/2026 06:40PM ET,PIT,18.3,,P
SP,Max Meyer (43804484),Max Meyer,43804484,P,9400,PIT@MIA 08/11/2026 06:40PM ET,MIA,19.1,IL,
SP,Gavin Williams (43804485),Gavin Williams,43804485,P,9300,CLE@DET 08/11/2026 06:40PM ET,CLE,22.3,,
SP,Parker Messick (43804486),Parker Messick,43804486,P,9300,CLE@DET 08/11/2026 06:40PM ET,CLE,19.6,,
SP,Troy Melton (43804487),Troy Melton,43804487,P,8800,CLE@DET 08/11/2026 06:40PM ET,DET,21.2,,
RP,Braxton Ashcraft (43804488),Braxton Ashcraft,43804488,P,8700,PIT@MIA 08/11/2026 06:40PM ET,PIT,18.1,,
SP,Eury Perez (43804346),Eury Perez,43804346,P,8400,PIT@MIA 08/11/2026 06:40PM ET,MIA,17.1,,P
SP,Foster Griffin (43804489),Foster Griffin,43804489,P,8300,CLE@DET 08/11/2026 06:40PM ET,CLE,17.4,,
RP,Joey Cantillo (43804490),Joey Cantillo,43804490,P,8300,CLE@DET 08/11/2026 06:40PM ET,CLE,14.1,,
SP,Shota Imanaga (43804347),Shota Imanaga,43804347,P,8000,CHC@WSH 08/11/2026 06:45PM ET,CHC,16.7,,P
SP,Matthew Boyd (43804491),Matthew Boyd,43804491,P,8000,CHC@WSH 08/11/2026 06:45PM ET,CHC,15.7,,
SP,Connelly Early (43804492),Connelly Early,43804492,P,8000,CHC@WSH 08/11/2026 06:45PM ET,WSH,16.2,IL,
RP,Ben Brown (43804493),Ben Brown,43804493,P,8000,CHC@WSH 08/11/2026 06:45PM ET,CHC,11.6,IL,
SP,Kevin Gausman (43804494),Kevin Gausman,43804494,P,8000,CHC@WSH 08/11/2026 06:45PM ET,CHC,14.8,,
RP,Clay Holmes (43804495),Clay Holmes,43804495,P,8000,CHC@WSH 08/11/2026 06:45PM ET,CHC,15.9,,
RP,Sandy Alcantara (43804496),Sandy Alcantara,43804496,P,7900,PIT@MIA 08/11/2026 06:40PM ET,MIA,17.3,,
RP,Framber Valdez (43804497),Framber Valdez,43804497,P,7800,CLE@DET 08/11/2026 06:40PM ET,DET,12.7,,
SP,Jack Flaherty (43804498),Jack Flaherty,43804498,P,7800,CLE@DET 08/11/2026 06:40PM ET,DET,12.9,IL,
SP,Keider Montero (43804499),Keider Montero,43804499,P,7800,CLE@DET 08/11/2026 06:40PM ET,DET,12.4,,
SP,Jared Jones (43804500),Jared Jones,43804500,P,7700,PIT@MIA 08/11/2026 06:40PM ET,PIT,12.4,,
SP,Bubba Chandler (43804501),Bubba Chandler,43804501,P,7700,PIT@MIA 08/11/2026 06:40PM ET,PIT,12,,
SP,Tanner Bibee (43804348),Tanner Bibee,43804348,P,7300,CLE@DET 08/11/2026 06:40PM ET,CLE,13.9,,P
SP,Slade Cecconi (43804502),Slade Cecconi,43804502,P,7300,CLE@DET 08/11/2026 06:40PM ET,CLE,9.3,IL,
SP,Logan Allen (43804503),Logan Allen,43804503,P,7300,CLE@DET 08/11/2026 06:40PM ET,CLE,11.8,,
SP,Justin Steele (43804504),Justin Steele,43804504,P,7000,CHC@WSH 08/11/2026 06:45PM ET,CHC,0,IL,
SP,Cade Cavalli (43804505),Cade Cavalli,43804505,P,7000,CHC@WSH 08/11/2026 06:45PM ET,WSH,15.9,,
SP,Edward Cabrera (43804506),Edward Cabrera,43804506,P,7000,CHC@WSH 08/11/2026 06:45PM ET,CHC,12.1,IL,
SP,Cade Horton (43804507),Cade Horton,43804507,P,7000,CHC@WSH 08/11/2026 06:45PM ET,CHC,10.5,IL,
