Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Jacob Misiorowski (43821676),Jacob Misiorowski,43821676,P,12400,MIL@LAD 08/13/2026 10:10PM ET,MIL,29.1,,
SP,Tarik Skubal (43821677),Tarik Skubal,43821677,P,10800,MIL@LAD 08/13/2026 10:10PM ET,LAD,21.8,,
SP,Tyler Glasnow (43821678),Tyler Glasnow,43821678,P,10800,MIL@LAD 08/13/2026 10:10PM ET,LAD,22.2,IL,
SP,Yoshinobu Yamamoto (43821679),Yoshinobu Yamamoto,43821679,P,10300,MIL@LAD 08/13/2026 10:10PM ET,LAD,21.7,,
SP,Logan Henderson (43821680),Logan Henderson,43821680,P,9900,MIL@LAD 08/13/2026 10:10PM ET,MIL,20.1,,
SP,Blake Snell (43821681),Blake Snell,43821681,P,9300,MIL@LAD 08/13/2026 10:10PM ET,LAD,16.5,,
SP,Jacob deGrom (43821575),Jacob deGrom,43821575,P,9100,TEX@LAA 08/13/2026 10:07PM ET,TEX,18.4,,SP
SP,Nathan Eovaldi (43821682),Nathan Eovaldi,43821682,P,9100,TEX@LAA 08/13/2026 10:07PM ET,TEX,17.7,IL,
SP,Brandon Woodruff (43821683),Brandon Woodruff,43821683,P,8900,MIL@LAD 08/13/2026 10:10PM ET,MIL,16.7,IL,
RP,Kyle Harrison (43821684),Kyle Harrison,43821684,P,8900,MIL@LAD 08/13/2026 10:10PM ET,MIL,17.7,,
SP,Kris Bubic (43821685),Kris Bubic,43821685,P,8800,MIL@LAD 08/13/2026 10:10PM ET,LAD,15.9,IL,
SP,Justin Wrobleski (43821686),Justin Wrobleski,43821686,P,8800,MIL@LAD 08/13/2026 10:10PM ET,LAD,16.4,,
SP,MacKenzie Gore (43821687),MacKenzie Gore,43821687,P,8100,TEX@LAA 08/13/2026 10:07PM ET,TEX,15.5,,
RP,Jacob Latz (43821688),Jacob Latz,43821688,P,8100,TEX@LAA 08/13/2026 10:07PM ET,TEX,4.7,,
SP,Walbert Urena (43821576),Walbert Urena,43821576,P,7900,TEX@LAA 08/13/2026 10:07PM ET,LAA,14.4,,SP
SP,Reid Detmers (43821689),Reid Detmers,43821689,P,7900,TEX@LAA 08/13/2026 10:07PM ET,LAA,17.2,,
RP,Cody Bradford (43821690),Cody Bradford,43821690,P,7600,TEX@LAA 08/13/2026 10:07PM ET,TEX,11.6,,
SP,Roki Sasaki (43821577),Roki Sasaki,43821577,P,7300,MIL@LAD 08/13/2026 10:10PM ET,LAD,13.9,,SP
SP,Emmet Sheehan (43821691),Emmet Sheehan,43821691,P,7300,MIL@LAD 08/13/2026 10:10PM ET,LAD,12.8,,
SP,Shane Drohan (43821578),Shane Drohan,43821578,P,6900,MIL@LAD 08/13/2026 10:10PM ET,MIL,11.6,,SP
SP,Dustin May (43821692),Dustin May,43821692,P,6900,MIL@LAD 08/13/2026 10:10PM ET,MIL,14.3,,
SP,Brandon Sproat (43821693),Brandon Sproat,43821693,P,6900,MIL@LAD 08/13/2026 10:10PM ET,MIL,10.9,,
SP,Chad Patrick (43821694),Chad Patrick,43821694,P,6900,MIL@LAD 08/13/2026 10:10PM ET,MIL,6,,
SP,Robert Gasser (43821695),Robert Gasser,43821695,P,6900,MIL@LAD 08/13/2026 10:10PM ET,MIL,12.6,,
SP,Yusei Kikuchi (43821696),Yusei Kikuchi,43821696,P,6900,TEX@LAA 08/13/2026 10:07PM ET,LAA,9.4,IL,
SP,Kumar Rocker (43821697),Kumar Rocker,43821697,P,6600,TEX@LAA 08/13/2026 10:07PM ET,TEX,12.2,,
SP,Jack Leiter (43821698),Jack Leiter,43821698,P,6600,TEX@LAA 08/13/2026 10:07PM ET,TEX,12.7,IL,
RP,Cal Quantrill (43821699),Cal Quantrill,43821699,P,6600,TEX@LAA 08/13/2026 10:07PM ET,TEX,6.6,,
1B/OF,Shohei Ohtani (43821579),Shohei Ohtani,43821579,1B/OF,6500,MIL@LAD 08/13/2026 10:10PM ET,LAD,9.6,,1
SP,Gavin Stone (43821700),Gavin Stone,43821700,P,6300,MIL@LAD 08/13/2026 10:10PM ET,LAD,0,IL,
SP,Bobby Miller (43821701),Bobby Miller,43821701,P,6300,MIL@LAD 08/13/2026 10:10PM ET,LAD,0,IL,
SP,Landon Knack (43821702),Landon Knack,43821702,P,6300,MIL@LAD 08/13/2026 10:10PM ET,LAD,4.2,,
RP,Eric Lauer (43821703),Eric Lauer,43821703,P,6300,MIL@LAD 08/13/2026 10:10PM ET,LAD,10.4,,
RP,DL Hall (43821704),DL Hall,43821704,P,5900,MIL@LAD 08/13/2026 10:10PM ET,MIL,3.7,,
SP,Coleman Crow (43821705),Coleman Crow,43821705,P,5900,MIL@LAD 08/13/2026 10:10PM ET,MIL,4.6,,
RP,Bryse Wilson (43821706),Bryse Wilson,43821706,P,5900,MIL@LAD 08/13/2026 10:10PM ET,MIL,4.6,,
RP,Antonio Senzatela (43821707),Antonio Senzatela,43821707,P,5900,MIL@LAD 08/13/2026 10:10PM ET,MIL,4.3,,
SP,Colton Gordon (43821708),Colton Gordon,43821708,P,5900,MIL@LAD 08/13/2026 10:10PM ET,MIL,1,,
SP,Grayson Rodriguez (43821709),Grayson Rodriguez,43821709,P,5900,TEX@LAA 08/13/2026 10:07PM ET,LAA,7.6,,
RP,Mitch Farris (43821710),Mitch Farris,43821710,P,5900,TEX@LAA 08/13/2026 10:07PM ET,LAA,4.6,,
