Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Chris Sale (43868610),Chris Sale,43868610,P,10500,ATL@MIN 08/19/2026 01:40PM ET,ATL,23.3,,
SP,Nick Pivetta (43868813),Nick Pivetta,43868813,P,9700,SD@NYM 08/19/2026 01:10PM ET,SD,15.3,IL,
SP,Troy Melton (43868814),Troy Melton,43868814,P,9700,DET@PIT 08/19/2026 12:35PM ET,DET,20.1,,
SP,Paul Skenes (43868611),Paul Skenes,43868611,P,9500,DET@PIT 08/19/2026 12:35PM ET,PIT,18.1,,P
RP,Braxton Ashcraft (43868815),Braxton Ashcraft,43868815,P,9500,DET@PIT 08/19/2026 12:35PM ET,PIT,19.3,,
RP,Ben Brown (43868816),Ben Brown,43868816,P,9200,CWS@CHC 08/19/2026 02:20PM ET,CHC,11.6,IL,
SP,Nolan McLean (43868817),Nolan McLean,43868817,P,9000,SD@NYM 08/19/2026 01:10PM ET,NYM,18.7,,
SP,Joe Musgrove (43868818),Joe Musgrove,43868818,P,8700,SD@NYM 08/19/2026 01:10PM ET,SD,0,IL,
SP,Robbie Ray (43868819),Robbie Ray,43868819,P,8700,SD@NYM 08/19/2026 01:10PM ET,SD,15.2,,
SP,Casey Mize (43868820),Casey Mize,43868820,P,8700,SD@NYM 08/19/2026 01:10PM ET,SD,15.9,,
SP,Taj Bradley (43868612),Taj Bradley,43868612,P,8500,ATL@MIN 08/19/2026 01:40PM ET,MIN,17.4,,P
SP,Spencer Schwellenbach (43868821),Spencer Schwellenbach,43868821,P,8500,ATL@MIN 08/19/2026 01:40PM ET,ATL,0,IL,
SP,Joe Ryan (43868822),Joe Ryan,43868822,P,8500,ATL@MIN 08/19/2026 01:40PM ET,MIN,16.5,IL,
SP,Sean Burke (43868823),Sean Burke,43868823,P,8500,CWS@CHC 08/19/2026 02:20PM ET,CWS,18.2,,
SP,Clay Holmes (43868613),Clay Holmes,43868613,P,8200,CWS@CHC 08/19/2026 02:20PM ET,CHC,16.6,,P
SP,Shota Imanaga (43868824),Shota Imanaga,43868824,P,8200,CWS@CHC 08/19/2026 02:20PM ET,CHC,16.6,,
SP,Kevin Gausman (43868825),Kevin Gausman,43868825,P,8200,CWS@CHC 08/19/2026 02:20PM ET,CHC,14.3,DTD,
SP,Matthew Boyd (43868826),Matthew Boyd,43868826,P,8200,CWS@CHC 08/19/2026 02:20PM ET,CHC,14.4,,
SP,Tylor Megill (43868827),Tylor Megill,43868827,P,8000,SD@NYM 08/19/2026 01:10PM ET,NYM,0,IL,
