Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Troy Melton (43902030),Troy Melton,43902030,P,9800,DET@KC 08/21/2026 08:10PM ET,DET,20.1,,P
SP,Gavin Williams (43901887),Gavin Williams,43901887,P,9400,CLE@COL 08/21/2026 08:40PM ET,CLE,21.8,,
SP,Parker Messick (43902068),Parker Messick,43902068,P,9100,CLE@COL 08/21/2026 08:40PM ET,CLE,19.9,,
SP,Nathan Eovaldi (43901724),Nathan Eovaldi,43901724,P,8800,LAA@TEX 08/21/2026 08:15PM ET,TEX,17.7,IL,
SP,Hunter Brown (43901951),Hunter Brown,43901951,P,8800,ATH@HOU 08/21/2026 08:10PM ET,HOU,15.3,,
SP,Jacob deGrom (43901737),Jacob deGrom,43901737,P,8700,LAA@TEX 08/21/2026 08:15PM ET,TEX,18.5,,
SP,Peter Lambert (43901810),Peter Lambert,43901810,P,8700,ATH@HOU 08/21/2026 08:10PM ET,HOU,16.1,,
SP,Reid Detmers (43901888),Reid Detmers,43901888,P,8700,LAA@TEX 08/21/2026 08:15PM ET,LAA,18.2,,P
SP,Foster Griffin (43901789),Foster Griffin,43901789,P,8500,CLE@COL 08/21/2026 08:40PM ET,CLE,17.6,,
SP,Cole Ragans (43901833),Cole Ragans,43901833,P,8000,DET@KC 08/21/2026 08:10PM ET,KC,13.2,IL,
SP,MacKenzie Gore (43901869),MacKenzie Gore,43901869,P,8000,LAA@TEX 08/21/2026 08:15PM ET,TEX,15.5,,P
SP,Michael Wacha (43901757),Michael Wacha,43901757,P,7900,DET@KC 08/21/2026 08:10PM ET,KC,15.2,,
SP,Slade Cecconi (43901938),Slade Cecconi,43901938,P,7900,CLE@COL 08/21/2026 08:40PM ET,CLE,9.3,IL,
RP,Walbert Urena (43902059),Walbert Urena,43902059,P,7900,LAA@TEX 08/21/2026 08:15PM ET,LAA,15,,
SP,Cristian Javier (43901813),Cristian Javier,43901813,P,7800,ATH@HOU 08/21/2026 08:10PM ET,HOU,5.1,,
SP,Tatsuya Imai (43901856),Tatsuya Imai,43901856,P,7800,ATH@HOU 08/21/2026 08:10PM ET,HOU,11.1,,
RP,Jacob Latz (43901793),Jacob Latz,43901793,P,7600,LAA@TEX 08/21/2026 08:15PM ET,TEX,4.9,,
RP,Framber Valdez (43901809),Framber Valdez,43901809,P,7600,DET@KC 08/21/2026 08:10PM ET,DET,12.3,,
SP,Jack Flaherty (43901790),Jack Flaherty,43901790,P,7500,DET@KC 08/21/2026 08:10PM ET,DET,12.9,IL,
SP,Gage Jump (43902022),Gage Jump,43902022,P,7500,ATH@HOU 08/21/2026 08:10PM ET,ATH,13.5,,
SP,Noah Cameron (43902043),Noah Cameron,43902043,P,7400,DET@KC 08/21/2026 08:10PM ET,KC,15.2,,P
SP,Luis Morales (43902108),Luis Morales,43902108,P,7400,ATH@HOU 08/21/2026 08:10PM ET,ATH,-2.2,,
RP,Yusei Kikuchi (43901735),Yusei Kikuchi,43901735,P,7100,LAA@TEX 08/21/2026 08:15PM ET,LAA,9.4,IL,
RP,Joey Cantillo (43901883),Joey Cantillo,43901883,P,7100,CLE@COL 08/21/2026 08:40PM ET,CLE,14.6,,P
RP,Seth Lugo (43901754),Seth Lugo,43901754,P,7000,DET@KC 08/21/2026 08:10PM ET,KC,11.2,,
SP,Tony Gonsolin (43901842),Tony Gonsolin,43901842,P,7000,DET@KC 08/21/2026 08:10PM ET,KC,0,IL,
RP,Randy Dobnak (43901899),Randy Dobnak,43901899,P,7000,DET@KC 08/21/2026 08:10PM ET,KC,12.7,,
SP,Tanner Bibee (43901988),Tanner Bibee,43901988,P,7000,CLE@COL 08/21/2026 08:40PM ET,CLE,13.4,,
SP,Ronel Blanco (43901851),Ronel Blanco,43901851,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,6.3,,
RP,Jason Alexander (43901896),Jason Alexander,43901896,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,4.3,,
SP,Mike Burrows (43901924),Mike Burrows,43901924,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,9,IL,
RP,Stephen Kolek (43901926),Stephen Kolek,43901926,P,6900,DET@KC 08/21/2026 08:10PM ET,KC,11.5,IL,
RP,Kai-Wei Teng (43901945),Kai-Wei Teng,43901945,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,7.2,,
SP,Brandon Walter (43901982),Brandon Walter,43901982,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,0,IL,
RP,AJ Blubaugh (43902078),AJ Blubaugh,43902078,P,6900,ATH@HOU 08/21/2026 08:10PM ET,HOU,4.9,,
RP,Cal Quantrill (43901783),Cal Quantrill,43901783,P,6800,LAA@TEX 08/21/2026 08:15PM ET,TEX,7.4,,
RP,Cody Bradford (43901906),Cody Bradford,43901906,P,6800,LAA@TEX 08/21/2026 08:15PM ET,TEX,10.2,,
RP,J.T. Ginn (43901912),J.T. Ginn,43901912,P,6800,ATH@HOU 08/21/2026 08:10PM ET,ATH,13.9,,P
SP,Kumar Rocker (43901940),Kumar Rocker,43901940,P,6800,LAA@TEX 08/21/2026 08:15PM ET,TEX,11.8,,
SP,Jack Leiter (43901979),Jack Leiter,43901979,P,6800,LAA@TEX 08/21/2026 08:15PM ET,TEX,12.7,IL,
SP,Luis Severino (43901760),Luis Severino,43901760,P,6700,ATH@HOU 08/21/2026 08:10PM ET,ATH,13.7,IL,
RP,Jacob Lopez (43901931),Jacob Lopez,43901931,P,6700,ATH@HOU 08/21/2026 08:10PM ET,ATH,9.8,,
OF,Yordan Alvarez (43901855),Yordan Alvarez,43901855,OF,6600,ATH@HOU 08/21/2026 08:10PM ET,HOU,10.1,,
SP,Reese Olson (43901927),Reese Olson,43901927,P,6600,DET@KC 08/21/2026 08:10PM ET,DET,0,IL,
SP,Jackson Jobe (43902018),Jackson Jobe,43902018,P,6600,DET@KC 08/21/2026 08:10PM ET,DET,10.1,,
SP,Justin Verlander (43901717),Justin Verlander,43901717,P,6500,DET@KC 08/21/2026 08:10PM ET,DET,-4.6,IL,
SP,Keider Montero (43901864),Keider Montero,43901864,P,6500,DET@KC 08/21/2026 08:10PM ET,DET,12.4,,
SP,Ethan Pecko (43902111),Ethan Pecko,43902111,P,6500,ATH@HOU 08/21/2026 08:10PM ET,HOU,8.1,,
RP,Hayden Wesneski (43901847),Hayden Wesneski,43901847,P,6400,ATH@HOU 08/21/2026 08:10PM ET,HOU,12.6,,P
SS,Bobby Witt Jr. (43901954),Bobby Witt Jr.,43901954,SS,6200,DET@KC 08/21/2026 08:10PM ET,KC,9.5,,
