Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Foster Griffin (43914392),Foster Griffin,43914392,P,9200,CLE@COL 08/23/2026 03:10PM ET,CLE,17.6,,P
SP,Gavin Williams (43914501),Gavin Williams,43914501,P,9200,CLE@COL 08/23/2026 03:10PM ET,CLE,21.8,,
SP,Garrett Crochet (43914502),Garrett Crochet,43914502,P,9200,SF@BOS 08/23/2026 03:15PM ET,BOS,13.8,IL,
SP,Payton Tolle (43914503),Payton Tolle,43914503,P,9000,SF@BOS 08/23/2026 03:15PM ET,BOS,19.2,,
SP,Sonny Gray (43914504),Sonny Gray,43914504,P,8900,SF@BOS 08/23/2026 03:15PM ET,BOS,18.2,,
SP,Logan Webb (43914505),Logan Webb,43914505,P,8800,SF@BOS 08/23/2026 03:15PM ET,SF,15.6,,
SP,Parker Messick (43914506),Parker Messick,43914506,P,8700,CLE@COL 08/23/2026 03:10PM ET,CLE,19.9,,
SP,Ranger Suarez (43914507),Ranger Suarez,43914507,P,8700,SF@BOS 08/23/2026 03:15PM ET,BOS,15.1,,
SP,Jake Bennett (43914393),Jake Bennett,43914393,P,8600,SF@BOS 08/23/2026 03:15PM ET,BOS,15.4,,P
RP,Landen Roupp (43914508),Landen Roupp,43914508,P,7500,SF@BOS 08/23/2026 03:15PM ET,SF,14.1,,
SP,Slade Cecconi (43914509),Slade Cecconi,43914509,P,7300,CLE@COL 08/23/2026 03:10PM ET,CLE,9.3,IL,
SP,Tanner Houck (43914510),Tanner Houck,43914510,P,7000,SF@BOS 08/23/2026 03:15PM ET,BOS,0,IL,
SP,Kutter Crawford (43914511),Kutter Crawford,43914511,P,7000,SF@BOS 08/23/2026 03:15PM ET,BOS,0,IL,
SP,Brayan Bello (43914512),Brayan Bello,43914512,P,6900,SF@BOS 08/23/2026 03:15PM ET,BOS,9.7,,
SP,Tanner Bibee (43914513),Tanner Bibee,43914513,P,6800,CLE@COL 08/23/2026 03:10PM ET,CLE,13.7,,
SP,Patrick Sandoval (43914514),Patrick Sandoval,43914514,P,6800,SF@BOS 08/23/2026 03:15PM ET,BOS,11.6,,
RP,Joey Cantillo (43914515),Joey Cantillo,43914515,P,6600,CLE@COL 08/23/2026 03:10PM ET,CLE,14.5,,
SP,Tomoyuki Sugano (43914394),Tomoyuki Sugano,43914394,P,6300,CLE@COL 08/23/2026 03:10PM ET,COL,10.6,,P
3B,Jose Ramirez (43914396),Jose Ramirez,43914396,3B,6200,CLE@COL 08/23/2026 03:10PM ET,CLE,8.4,,
SP,Blade Tidwell (43914516),Blade Tidwell,43914516,P,6200,SF@BOS 08/23/2026 03:15PM ET,SF,6.5,,
SP,Johan Oviedo (43914517),Johan Oviedo,43914517,P,6200,SF@BOS 08/23/2026 03:15PM ET,BOS,1.5,IL,
RP,Logan Allen (43914518),Logan Allen,43914518,P,5900,CLE@COL 08/23/2026 03:10PM ET,CLE,7.7,,
RP,Daniel Espino (43914519),Daniel Espino,43914519,P,5900,CLE@COL 08/23/2026 03:10PM ET,CLE,4.4,,
SP,Miguel Mendez (43914520),Miguel Mendez,43914520,P,5800,SF@BOS 08/23/2026 03:15PM ET,SF,0,,
SP,Keaton Winn (43914521),Keaton Winn,43914521,P,5800,SF@BOS 08/23/2026 03:15PM ET,SF,2.4,IL,
RP,Jose Butto (43914522),Jose Butto,43914522,P,5800,SF@BOS 08/23/2026 03:15PM ET,SF,-0.5,IL,
RP,Tristan Beck (43914523),Tristan Beck,43914523,P,5800,SF@BOS 08/23/2026 03:15PM ET,SF,0.7,,
