Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Jacob Misiorowski (43930828),Jacob Misiorowski,43930828,P,12500,MIL@NYM 08/25/2026 07:10PM ET,MIL,28.7,,
SP,Cristopher Sanchez (43930829),Cristopher Sanchez,43930829,P,11700,PHI@SEA 08/25/2026 09:40PM ET,PHI,22.6,,
SP,Tarik Skubal (43930830),Tarik Skubal,43930830,P,11000,LAD@ATL 08/25/2026 07:15PM ET,LAD,22.3,,
SP,Yoshinobu Yamamoto (43930831),Yoshinobu Yamamoto,43930831,P,11000,LAD@ATL 08/25/2026 07:15PM ET,LAD,22.1,,
SP,Dylan Cease (43930832),Dylan Cease,43930832,P,10800,KC@TOR 08/25/2026 07:07PM ET,TOR,25.4,,
SP,Chase Burns (43930833),Chase Burns,43930833,P,10800,CIN@SF 08/25/2026 09:45PM ET,CIN,20.6,,
SP,Zack Wheeler (43930834),Zack Wheeler,43930834,P,10700,PHI@SEA 08/25/2026 09:40PM ET,PHI,20,,
SP,Gavin Williams (43930224),Gavin Williams,43930224,P,10500,CLE@LAA 08/25/2026 09:38PM ET,CLE,21.8,,P
SP,Cam Schlittler (43930835),Cam Schlittler,43930835,P,10400,HOU@NYY 08/25/2026 07:05PM ET,NYY,22.8,,
SP,Jesus Luzardo (43930836),Jesus Luzardo,43930836,P,10200,PHI@SEA 08/25/2026 09:40PM ET,PHI,21.2,,
SP,Chris Sale (43930837),Chris Sale,43930837,P,10200,LAD@ATL 08/25/2026 07:15PM ET,ATL,23,,
SP,Tyler Glasnow (43930225),Tyler Glasnow,43930225,P,10000,LAD@ATL 08/25/2026 07:15PM ET,LAD,22.2,IL,P
SP,Blake Snell (43930838),Blake Snell,43930838,P,10000,LAD@ATL 08/25/2026 07:15PM ET,LAD,20.4,,
SP,Kyle Harrison (43930226),Kyle Harrison,43930226,P,9500,MIL@NYM 08/25/2026 07:10PM ET,MIL,18.8,,P
SP,Nolan McLean (43930839),Nolan McLean,43930839,P,9500,MIL@NYM 08/25/2026 07:10PM ET,NYM,18.8,,
SP,Parker Messick (43930840),Parker Messick,43930840,P,9500,CLE@LAA 08/25/2026 09:38PM ET,CLE,20,,
SP,Logan Henderson (43930841),Logan Henderson,43930841,P,9500,MIL@NYM 08/25/2026 07:10PM ET,MIL,20.6,,
SP,Gerrit Cole (43930842),Gerrit Cole,43930842,P,9400,HOU@NYY 08/25/2026 07:05PM ET,NYY,19.5,,
SP,Jacob deGrom (43930227),Jacob deGrom,43930227,P,9300,TEX@CWS 08/25/2026 07:40PM ET,TEX,18.5,,P
SP,Logan Gilbert (43930843),Logan Gilbert,43930843,P,9300,PHI@SEA 08/25/2026 09:40PM ET,SEA,19.4,,
