Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
SP,Dylan Cease (43971137),Dylan Cease,43971137,P,11200,SEA@TOR 08/29/2026 03:07PM ET,TOR,25.5,,
SP,Chase Burns (43971376),Chase Burns,43971376,P,10400,CIN@CHC 08/29/2026 02:20PM ET,CIN,20.6,,
SP,Logan Gilbert (43971242),Logan Gilbert,43971242,P,9400,SEA@TOR 08/29/2026 03:07PM ET,SEA,19.4,,
SP,Paul Skenes (43971442),Paul Skenes,43971442,P,9100,PIT@STL 08/29/2026 02:15PM ET,PIT,17.8,,
RP,Braxton Ashcraft (43971278),Braxton Ashcraft,43971278,P,9000,PIT@STL 08/29/2026 02:15PM ET,PIT,19.1,,
SP,Kevin Gausman (43971074),Kevin Gausman,43971074,P,8900,CIN@CHC 08/29/2026 02:20PM ET,CHC,14.9,,P
SP,Sean Burke (43971380),Sean Burke,43971380,P,8900,CWS@MIN 08/29/2026 02:10PM ET,CWS,17.3,,
SP,Jose Soriano (43971192),Jose Soriano,43971192,P,8800,SEA@TOR 08/29/2026 03:07PM ET,TOR,16.3,,P
SP,Jose Berrios (43971095),Jose Berrios,43971095,P,8500,SEA@TOR 08/29/2026 03:07PM ET,TOR,0,IL,
SP,Shota Imanaga (43971184),Shota Imanaga,43971184,P,8500,CIN@CHC 08/29/2026 02:20PM ET,CHC,16.2,,
SP,Bryce Miller (43971297),Bryce Miller,43971297,P,8500,SEA@TOR 08/29/2026 03:07PM ET,SEA,15.5,,
SP,Bryan Woo (43971388),Bryan Woo,43971388,P,8500,SEA@TOR 08/29/2026 03:07PM ET,SEA,16.2,,
SP,Joe Ryan (43971142),Joe Ryan,43971142,P,8400,CWS@MIN 08/29/2026 02:10PM ET,MIN,16.5,IL,
SP,George Kirby (43971214),George Kirby,43971214,P,8400,SEA@TOR 08/29/2026 03:07PM ET,SEA,14.8,,
RP,Ben Brown (43971249),Ben Brown,43971249,P,8400,CIN@CHC 08/29/2026 02:20PM ET,CHC,11.6,IL,
SP,Taj Bradley (43971284),Taj Bradley,43971284,P,8400,CWS@MIN 08/29/2026 02:10PM ET,MIN,17.7,,
SP,Trey Yesavage (43971461),Trey Yesavage,43971461,P,8400,SEA@TOR 08/29/2026 03:07PM ET,TOR,15.1,IL,
RP,Clay Holmes (43971084),Clay Holmes,43971084,P,8300,CIN@CHC 08/29/2026 02:20PM ET,CHC,16.4,,
SP,Hunter Greene (43971244),Hunter Greene,43971244,P,8300,CIN@CHC 08/29/2026 02:20PM ET,CIN,14.3,IL,
SP,Mick Abel (43971342),Mick Abel,43971342,P,8300,CWS@MIN 08/29/2026 02:10PM ET,MIN,14.2,IL,
RP,Kyle Leahy (43971293),Kyle Leahy,43971293,P,8000,PIT@STL 08/29/2026 02:15PM ET,STL,14.6,,P
RP,David Sandlin (43971426),David Sandlin,43971426,P,7900,CWS@MIN 08/29/2026 02:10PM ET,CWS,10.5,,
RP,Andre Pallante (43971235),Andre Pallante,43971235,P,7700,PIT@STL 08/29/2026 02:15PM ET,STL,13.9,IL,
SP,Kade Anderson (43971466),Kade Anderson,43971466,P,7700,SEA@TOR 08/29/2026 03:07PM ET,SEA,12.6,,P
SP,Emerson Hancock (43971252),Emerson Hancock,43971252,P,7600,SEA@TOR 08/29/2026 03:07PM ET,SEA,15.3,,
SP,Connor Prielipp (43971328),Connor Prielipp,43971328,P,7600,CWS@MIN 08/29/2026 02:10PM ET,MIN,12.6,,
SP,Pablo Lopez (43971113),Pablo Lopez,43971113,P,7500,CWS@MIN 08/29/2026 02:10PM ET,MIN,0,IL,
SP,Justin Steele (43971136),Justin Steele,43971136,P,7500,CIN@CHC 08/29/2026 02:20PM ET,CHC,0,IL,
SP,Shane Bieber (43971156),Shane Bieber,43971156,P,7500,SEA@TOR 08/29/2026 03:07PM ET,TOR,11.8,IL,
SP,Dean Kremer (43971179),Dean Kremer,43971179,P,7500,CWS@MIN 08/29/2026 02:10PM ET,MIN,12.1,,
SP,Zebby Matthews (43971433),Zebby Matthews,43971433,P,7500,CWS@MIN 08/29/2026 02:10PM ET,MIN,13.6,,
SP,Matthew Boyd (43971089),Matthew Boyd,43971089,P,7400,CIN@CHC 08/29/2026 02:20PM ET,CHC,14.2,,
SP,David Peterson (43971140),David Peterson,43971140,P,7400,CIN@CHC 08/29/2026 02:20PM ET,CHC,10,,
SP,Javier Assad (43971227),Javier Assad,43971227,P,7400,CIN@CHC 08/29/2026 02:20PM ET,CHC,9.1,,
SP,Edward Cabrera (43971228),Edward Cabrera,43971228,P,7400,CIN@CHC 08/29/2026 02:20PM ET,CHC,10.8,IL,
SP,Cade Horton (43971347),Cade Horton,43971347,P,7400,CIN@CHC 08/29/2026 02:20PM ET,CHC,10.5,IL,
SP,Brady Singer (43971165),Brady Singer,43971165,P,7200,CIN@CHC 08/29/2026 02:20PM ET,CIN,11.3,DTD,
SP,Luis Castillo (43971091),Luis Castillo,43971091,P,7000,CWS@MIN 08/29/2026 02:10PM ET,CWS,10,,
RP,Anthony Kay (43971122),Anthony Kay,43971122,P,7000,CWS@MIN 08/29/2026 02:10PM ET,CWS,11.4,,
