Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5213451680,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,1. Column A lists all of your contest entries for this draftgroup
5213451681,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,2. Your current lineup is listed next to each entry (blank for reservations)
5213451682,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5213451683,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5213451684,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,5. For faster processing only include entries you are changing in the file you upload
5213456851,MLB $250 Solo Shot (Turbo),193497117,$1,Michael Lorenzen (43793308),Kumar Rocker (43793564),Patrick Bailey (43793503),Salvador Perez (43793291),Jackson Holliday (43793725),Nick Loftin (43793608),Ryan Kreidler (43793459),Dylan Beavers (43793728),Wyatt Langford (43793757),Leody Taveras (43793425),,
,,,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,,SP,Jacob Misiorowski (43793638),Jacob Misiorowski,43793638,P,12600,MIN@MIL 08/09/2026 02:10PM ET,MIL,29.41
,,,,,,,,,,,,,,,SP,Logan Henderson (43793663),Logan Henderson,43793663,P,10400,MIN@MIL 08/09/2026 02:10PM ET,MIL,20.29
,,,,,,,,,,,,,,,SP,Gavin Williams (43793499),Gavin Williams,43793499,P,9900,CLE@CWS 08/09/2026 02:10PM ET,CLE,22.26
,,,,,,,,,,,,,,,RP,Kyle Harrison (43793629),Kyle Harrison,43793629,P,9800,MIN@MIL 08/09/2026 02:10PM ET,MIL,19.11
,,,,,,,,,,,,,,,SP,Brandon Woodruff (43793323),Brandon Woodruff,43793323,P,9400,MIN@MIL 08/09/2026 02:10PM ET,MIL,16.73
,,,,,,,,,,,,,,,SP,Jacob deGrom (43793309),Jacob deGrom,43793309,P,9300,BAL@TEX 08/09/2026 02:35PM ET,TEX,18.39
,,,,,,,,,,,,,,,SP,Nathan Eovaldi (43793294),Nathan Eovaldi,43793294,P,9200,BAL@TEX 08/09/2026 02:35PM ET,TEX,17.65
,,,,,,,,,,,,,,,SP,Parker Messick (43793732),Parker Messick,43793732,P,9200,CLE@CWS 08/09/2026 02:10PM ET,CLE,19.64
,,,,,,,,,,,,,,,RP,Shane Drohan (43793497),Shane Drohan,43793497,P,8900,MIN@MIL 08/09/2026 02:10PM ET,MIL,11.65
,,,,,,,,,,,,,,,SP,Taj Bradley (43793538),Taj Bradley,43793538,P,8900,MIN@MIL 08/09/2026 02:10PM ET,MIN,18.18
,,,,,,,,,,,,,,,SP,Joe Ryan (43793391),Joe Ryan,43793391,P,8800,MIN@MIL 08/09/2026 02:10PM ET,MIN,16.49
,,,,,,,,,,,,,,,SP,Brandon Sproat (43793589),Brandon Sproat,43793589,P,8800,MIN@MIL 08/09/2026 02:10PM ET,MIL,10.87
,,,,,,,,,,,,,,,SP,MacKenzie Gore (43793480),MacKenzie Gore,43793480,P,8700,BAL@TEX 08/09/2026 02:35PM ET,TEX,15.16
,,,,,,,,,,,,,,,SP,Matthew Boyd (43793335),Matthew Boyd,43793335,P,8500,CHC@KC 08/09/2026 02:10PM ET,CHC,15.62
,,,,,,,,,,,,,,,SP,Foster Griffin (43793379),Foster Griffin,43793379,P,8400,CLE@CWS 08/09/2026 02:10PM ET,CLE,17.41
