P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Cam Schlittler (43711975),Cam Schlittler,43711975,P,10700,NYY@CWS 07/30/2026 02:10PM ET,NYY,23.37
,,,,,,,,,,,SP,Joe Ryan (43711976),Joe Ryan,43711976,P,10400,KC@MIN 07/30/2026 01:40PM ET,MIN,17.03
,,,,,,,,,,,SP,Jacob deGrom (43711977),Jacob deGrom,43711977,P,10000,TEX@TB 07/30/2026 12:10PM ET,TEX,18.97
,,,,,,,,,,,SP,Gerrit Cole (43711978),Gerrit Cole,43711978,P,9700,NYY@CWS 07/30/2026 02:10PM ET,NYY,18
,,,,,,,,,,,SP,Drew Rasmussen (43711979),Drew Rasmussen,43711979,P,9500,TEX@TB 07/30/2026 12:10PM ET,TB,18.46
,,,,,,,,,,,SP,Nathan Eovaldi (43711788),Nathan Eovaldi,43711788,P,9000,TEX@TB 07/30/2026 12:10PM ET,TEX,18.79
,,,,,,,,,,,SP,Taj Bradley (43711980),Taj Bradley,43711980,P,8900,KC@MIN 07/30/2026 01:40PM ET,MIN,18.99
,,,,,,,,,,,SP,Mick Abel (43711981),Mick Abel,43711981,P,8900,KC@MIN 07/30/2026 01:40PM ET,MIN,14.19
,,,,,,,,,,,SP,Max Fried (43711982),Max Fried,43711982,P,8700,NYY@CWS 07/30/2026 02:10PM ET,NYY,16.75
,,,,,,,,,,,SP,Carlos Rodon (43711983),Carlos Rodon,43711983,P,8700,NYY@CWS 07/30/2026 02:10PM ET,NYY,17.21
,,,,,,,,,,,SP,Shane McClanahan (43711789),Shane McClanahan,43711789,P,8500,TEX@TB 07/30/2026 12:10PM ET,TB,15.52
,,,,,,,,,,,RP,Griffin Jax (43711984),Griffin Jax,43711984,P,8500,TEX@TB 07/30/2026 12:10PM ET,TB,9.49
,,,,,,,,,,,SP,Cole Ragans (43711986),Cole Ragans,43711986,P,8500,KC@MIN 07/30/2026 01:40PM ET,KC,13.19
,,,,,,,,,,,SP,Kris Bubic (43711987),Kris Bubic,43711987,P,8500,KC@MIN 07/30/2026 01:40PM ET,KC,15.94
,,,,,,,,,,,SP,Michael Wacha (43711988),Michael Wacha,43711988,P,8500,KC@MIN 07/30/2026 01:40PM ET,KC,15.42
,,,,,,,,,,,RP,Ben Brown (43711985),Ben Brown,43711985,P,8500,CHC@STL 07/30/2026 02:15PM ET,CHC,11.57
,,,,,,,,,,,SP,Sean Burke (43711790),Sean Burke,43711790,P,8200,NYY@CWS 07/30/2026 02:10PM ET,CWS,18.39
,,,,,,,,,,,SP,Davis Martin (43711989),Davis Martin,43711989,P,8200,NYY@CWS 07/30/2026 02:10PM ET,CWS,15.47
,,,,,,,,,,,SP,MacKenzie Gore (43711990),MacKenzie Gore,43711990,P,8000,TEX@TB 07/30/2026 12:10PM ET,TEX,15.04
,,,,,,,,,,,SP,Justin Steele (43711991),Justin Steele,43711991,P,8000,CHC@STL 07/30/2026 02:15PM ET,CHC,0
,,,,,,,,,,,SP,Pablo Lopez (43711992),Pablo Lopez,43711992,P,7900,KC@MIN 07/30/2026 01:40PM ET,MIN,0
,,,,,,,,,,,SP,Zebby Matthews (43711993),Zebby Matthews,43711993,P,7900,KC@MIN 07/30/2026 01:40PM ET,MIN,11.98
,,,,,,,,,,,SP,Connor Prielipp (43711994),Connor Prielipp,43711994,P,7900,KC@MIN 07/30/2026 01:40PM ET,MIN,13.67
,,,,,,,,,,,RP,Ryan Weathers (43711791),Ryan Weathers,43711791,P,7700,NYY@CWS 07/30/2026 02:10PM ET,NYY,15.85
,,,,,,,,,,,SP,Will Warren (43711995),Will Warren,43711995,P,7700,NYY@CWS 07/30/2026 02:10PM ET,NYY,13.01
,,,,,,,,,,,SP,Clarke Schmidt (43711996),Clarke Schmidt,43711996,P,7700,NYY@CWS 07/30/2026 02:10PM ET,NYY,0
,,,,,,,,,,,RP,Joe Boyle (43711997),Joe Boyle,43711997,P,7500,TEX@TB 07/30/2026 12:10PM ET,TB,13.02
,,,,,,,,,,,RP,Nick Martinez (43711998),Nick Martinez,43711998,P,7500,TEX@TB 07/30/2026 12:10PM ET,TB,14.74
,,,,,,,,,,,RP,Ian Seymour (43711999),Ian Seymour,43711999,P,7500,TEX@TB 07/30/2026 12:10PM ET,TB,7.03
,,,,,,,,,,,SP,Shota Imanaga (43711792),Shota Imanaga,43711792,P,7500,CHC@STL 07/30/2026 02:15PM ET,CHC,16.32
,,,,,,,,,,,SP,Javier Assad (43712000),Javier Assad,43712000,P,7500,CHC@STL 07/30/2026 02:15PM ET,CHC,9.06
,,,,,,,,,,,SP,Matthew Boyd (43712001),Matthew Boyd,43712001,P,7500,CHC@STL 07/30/2026 02:15PM ET,CHC,16.01
,,,,,,,,,,,SP,Edward Cabrera (43712002),Edward Cabrera,43712002,P,7500,CHC@STL 07/30/2026 02:15PM ET,CHC,12.11
,,,,,,,,,,,SP,Cade Horton (43712003),Cade Horton,43712003,P,7500,CHC@STL 07/30/2026 02:15PM ET,CHC,10.45
,,,,,,,,,,,RP,Andre Pallante (43711793),Andre Pallante,43711793,P,7300,CHC@STL 07/30/2026 02:15PM ET,STL,14.05
,,,,,,,,,,,SP,Dustin May (43712004),Dustin May,43712004,P,7300,CHC@STL 07/30/2026 02:15PM ET,STL,13.72
,,,,,,,,,,,RP,Kyle Leahy (43712005),Kyle Leahy,43712005,P,7300,CHC@STL 07/30/2026 02:15PM ET,STL,13.37
,,,,,,,,,,,SP,Michael McGreevy (43712006),Michael McGreevy,43712006,P,7300,CHC@STL 07/30/2026 02:15PM ET,STL,12.08
,,,,,,,,,,,RP,David Sandlin (43712007),David Sandlin,43712007,P,7200,NYY@CWS 07/30/2026 02:10PM ET,CWS,12.62
