P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Chase Burns (43711483),Chase Burns,43711483,P,11000,PIT@CIN 07/30/2026 07:10PM ET,CIN,21.10
,,,,,,,,,,,SP,Chris Sale (43711484),Chris Sale,43711484,P,10800,WSH@ATL 07/30/2026 07:15PM ET,ATL,23.29
,,,,,,,,,,,SP,Tyler Glasnow (43711485),Tyler Glasnow,43711485,P,10500,SEA@LAD 07/30/2026 10:10PM ET,LAD,22.21
,,,,,,,,,,,SP,Yoshinobu Yamamoto (43711486),Yoshinobu Yamamoto,43711486,P,10500,SEA@LAD 07/30/2026 10:10PM ET,LAD,22.09
,,,,,,,,,,,SP,Logan Gilbert (43711487),Logan Gilbert,43711487,P,10000,SEA@LAD 07/30/2026 10:10PM ET,SEA,19.37
,,,,,,,,,,,SP,Garrett Crochet (43711488),Garrett Crochet,43711488,P,9600,BOS@ATH 07/30/2026 09:40PM ET,BOS,13.78
,,,,,,,,,,,SP,Paul Skenes (43711178),Paul Skenes,43711178,P,9500,PIT@CIN 07/30/2026 07:10PM ET,PIT,19.03
,,,,,,,,,,,SP,Nick Pivetta (43711489),Nick Pivetta,43711489,P,9500,SF@SD 07/30/2026 09:40PM ET,SD,15.3
,,,,,,,,,,,SP,Bryce Miller (43711179),Bryce Miller,43711179,P,9000,SEA@LAD 07/30/2026 10:10PM ET,SEA,19.34
,,,,,,,,,,,SP,George Kirby (43711490),George Kirby,43711490,P,9000,SEA@LAD 07/30/2026 10:10PM ET,SEA,15.86
,,,,,,,,,,,SP,Bryan Woo (43711491),Bryan Woo,43711491,P,9000,SEA@LAD 07/30/2026 10:10PM ET,SEA,16.16
,,,,,,,,,,,SP,Spencer Schwellenbach (43711493),Spencer Schwellenbach,43711493,P,8800,WSH@ATL 07/30/2026 07:15PM ET,ATL,0
,,,,,,,,,,,RP,AJ Smith-Shawver (43711494),AJ Smith-Shawver,43711494,P,8800,WSH@ATL 07/30/2026 07:15PM ET,ATL,10.15
,,,,,,,,,,,RP,Spencer Strider (43711495),Spencer Strider,43711495,P,8800,WSH@ATL 07/30/2026 07:15PM ET,ATL,14.67
,,,,,,,,,,,SP,Logan Webb (43711492),Logan Webb,43711492,P,8800,SF@SD 07/30/2026 09:40PM ET,SF,15.31
,,,,,,,,,,,SP,Nolan McLean (43711180),Nolan McLean,43711180,P,8800,MIA@NYM 07/30/2026 07:10PM ET,NYM,19.28
,,,,,,,,,,,SP,Tylor Megill (43711496),Tylor Megill,43711496,P,8800,MIA@NYM 07/30/2026 07:10PM ET,NYM,0
,,,,,,,,,,,SP,Zac Thornton (43711497),Zac Thornton,43711497,P,8800,MIA@NYM 07/30/2026 07:10PM ET,NYM,17.31
,,,,,,,,,,,RP,Clay Holmes (43711498),Clay Holmes,43711498,P,8800,MIA@NYM 07/30/2026 07:10PM ET,NYM,17.9
,,,,,,,,,,,SP,Payton Tolle (43711499),Payton Tolle,43711499,P,8600,BOS@ATH 07/30/2026 09:40PM ET,BOS,17.90
,,,,,,,,,,,SP,Ranger Suarez (43711500),Ranger Suarez,43711500,P,8600,BOS@ATH 07/30/2026 09:40PM ET,BOS,16.96
,,,,,,,,,,,SP,Foster Griffin (43711181),Foster Griffin,43711181,P,8600,WSH@ATL 07/30/2026 07:15PM ET,WSH,18.83
,,,,,,,,,,,SP,Connelly Early (43711501),Connelly Early,43711501,P,8600,WSH@ATL 07/30/2026 07:15PM ET,WSH,16.23
,,,,,,,,,,,RP,Braxton Ashcraft (43711505),Braxton Ashcraft,43711505,P,8500,PIT@CIN 07/30/2026 07:10PM ET,PIT,18.32
,,,,,,,,,,,SP,Justin Wrobleski (43711502),Justin Wrobleski,43711502,P,8500,SEA@LAD 07/30/2026 10:10PM ET,LAD,18.23
,,,,,,,,,,,SP,Blake Snell (43711503),Blake Snell,43711503,P,8500,SEA@LAD 07/30/2026 10:10PM ET,LAD,3.95
,,,,,,,,,,,RP,Michael King (43711504),Michael King,43711504,P,8500,SF@SD 07/30/2026 09:40PM ET,SD,15.29
,,,,,,,,,,,SP,Joe Musgrove (43711506),Joe Musgrove,43711506,P,8500,SF@SD 07/30/2026 09:40PM ET,SD,0
,,,,,,,,,,,SP,Eury Perez (43711182),Eury Perez,43711182,P,8300,MIA@NYM 07/30/2026 07:10PM ET,MIA,16.96
,,,,,,,,,,,SP,Max Meyer (43711507),Max Meyer,43711507,P,8300,MIA@NYM 07/30/2026 07:10PM ET,MIA,19.10
,,,,,,,,,,,SP,Sandy Alcantara (43711508),Sandy Alcantara,43711508,P,8300,MIA@NYM 07/30/2026 07:10PM ET,MIA,16.26
,,,,,,,,,,,SP,Sonny Gray (43711183),Sonny Gray,43711183,P,8100,BOS@ATH 07/30/2026 09:40PM ET,BOS,17.46
,,,,,,,,,,,SP,Cade Cavalli (43711509),Cade Cavalli,43711509,P,8100,WSH@ATL 07/30/2026 07:15PM ET,WSH,15.86
,,,,,,,,,,,SP,Hunter Greene (43711510),Hunter Greene,43711510,P,8000,PIT@CIN 07/30/2026 07:10PM ET,CIN,15.84
,,,,,,,,,,,SP,Emerson Hancock (43711511),Emerson Hancock,43711511,P,8000,SEA@LAD 07/30/2026 10:10PM ET,SEA,16.24
