Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5207341319,MLB $6K Solo Shot,193142624,$1,,,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5207341857,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,2. Your current lineup is listed next to each entry (blank for reservations)
5207341864,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5207341880,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5207347516,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,5. For faster processing only include entries you are changing in the file you upload
5207347803,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,
5207348036,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5207348037,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Jacob Misiorowski (43742517),Jacob Misiorowski,43742517,P,12000,PIT@MIL 08/03/2026 07:40PM ET,MIL,29.41
5207348038,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Tarik Skubal (43742518),Tarik Skubal,43742518,P,11500,LAD@CHC 08/03/2026 08:05PM ET,LAD,22.64
5207348039,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Cam Schlittler (43742177),Cam Schlittler,43742177,P,11500,STL@NYY 08/03/2026 07:05PM ET,NYY,23.37
5207348040,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Tyler Glasnow (43742519),Tyler Glasnow,43742519,P,11000,LAD@CHC 08/03/2026 08:05PM ET,LAD,22.21
5207348041,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Dylan Cease (43742520),Dylan Cease,43742520,P,10800,TOR@HOU 08/03/2026 08:10PM ET,TOR,25.32
5207348042,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Yoshinobu Yamamoto (43742521),Yoshinobu Yamamoto,43742521,P,10500,LAD@CHC 08/03/2026 08:05PM ET,LAD,21.73
5207348043,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Jacob deGrom (43742522),Jacob deGrom,43742522,P,10000,SF@TEX 08/03/2026 08:05PM ET,TEX,17.89
5207348044,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Paul Skenes (43742523),Paul Skenes,43742523,P,9600,PIT@MIL 08/03/2026 07:40PM ET,PIT,18.48
5207348045,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Nick Pivetta (43742525),Nick Pivetta,43742525,P,9500,SD@ARI 08/03/2026 09:40PM ET,SD,15.3
5207348046,MLB $6K Solo Shot,193142624,$1,Michael Lorenzen (43742190),Cal Quantrill (43742188),Daniel Susac (43742315),Rafael Devers (43742245),Ernie Clement (43742276),Ezequiel Duran (43742273),Ezequiel Tovar (43742301),Jordan Lawlar (43742415),Tim Tawa (43742305),Christian Yelich (43742215),,SP,Logan Webb (43742178),Logan Webb,43742178,P,9500,SF@TEX 08/03/2026 08:05PM ET,SF,15.31
