Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5209342971,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,1. Column A lists all of your contest entries for this draftgroup
5209352493,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,2. Your current lineup is listed next to each entry (blank for reservations)
5209352494,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5209352495,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5209352496,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,5. For faster processing only include entries you are changing in the file you upload
5209352497,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,
5209352498,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5209352499,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Jacob Misiorowski (43755889),Jacob Misiorowski,43755889,P,12000,PIT@MIL 08/05/2026 07:40PM ET,MIL,29.41
5209352500,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Cam Schlittler (43755890),Cam Schlittler,43755890,P,11300,STL@NYY 08/05/2026 07:05PM ET,NYY,22.62
5209352501,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Logan Henderson (43755891),Logan Henderson,43755891,P,10500,PIT@MIL 08/05/2026 07:40PM ET,MIL,20.29
5209352502,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Chris Sale (43755892),Chris Sale,43755892,P,10400,MIA@ATL 08/05/2026 07:15PM ET,ATL,23.29
5209352503,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Logan Gilbert (43755893),Logan Gilbert,43755893,P,10000,DET@SEA 08/05/2026 09:40PM ET,SEA,19.31
5209352504,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Troy Melton (43755894),Troy Melton,43755894,P,9800,DET@SEA 08/05/2026 09:40PM ET,DET,21.26
5209352505,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Gerrit Cole (43755895),Gerrit Cole,43755895,P,9800,STL@NYY 08/05/2026 07:05PM ET,NYY,18.20
5209352506,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Paul Skenes (43755555),Paul Skenes,43755555,P,9600,PIT@MIL 08/05/2026 07:40PM ET,PIT,18.48
5209352507,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Brandon Woodruff (43755896),Brandon Woodruff,43755896,P,9500,PIT@MIL 08/05/2026 07:40PM ET,MIL,16.73
5209352508,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Spencer Schwellenbach (43755897),Spencer Schwellenbach,43755897,P,9400,MIA@ATL 08/05/2026 07:15PM ET,ATL,0
5209352509,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,RP,Spencer Strider (43755898),Spencer Strider,43755898,P,9400,MIA@ATL 08/05/2026 07:15PM ET,ATL,14.67
5209352510,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Max Meyer (43755901),Max Meyer,43755901,P,9300,MIA@ATL 08/05/2026 07:15PM ET,MIA,19.10
5209352511,MLB $5K Solo Shot [$1K to 1st],193254906,$1,Noah Cameron (43755565),Dean Kremer (43755566),Luis Campusano (43755655),Spencer Torkelson (43755623),Chase Meidroth (43755643),Jose Fernandez (43755793),J.P. Crawford (43755803),Akil Baddoo (43755830),Jorge Barrosa (43755753),Kyle Isbel (43755752),,SP,Sonny Gray (43755556),Sonny Gray,43755556,P,9300,CWS@BOS 08/05/2026 07:10PM ET,BOS,17.41
,,,,,,,,,,,,,,,SP,Garrett Crochet (43755899),Garrett Crochet,43755899,P,9300,CWS@BOS 08/05/2026 07:10PM ET,BOS,13.78
,,,,,,,,,,,,,,,SP,Joe Ryan (43755900),Joe Ryan,43755900,P,9300,MIN@KC 08/05/2026 07:40PM ET,MIN,16.49
,,,,,,,,,,,,,,,SP,Nick Pivetta (43755904),Nick Pivetta,43755904,P,9000,SD@ARI 08/05/2026 09:40PM ET,SD,15.3
,,,,,,,,,,,,,,,SP,Casey Mize (43755905),Casey Mize,43755905,P,9000,SD@ARI 08/05/2026 09:40PM ET,SD,17.3
,,,,,,,,,,,,,,,SP,Bryan Woo (43755557),Bryan Woo,43755557,P,9000,DET@SEA 08/05/2026 09:40PM ET,SEA,16.01
,,,,,,,,,,,,,,,SP,George Kirby (43755902),George Kirby,43755902,P,9000,DET@SEA 08/05/2026 09:40PM ET,SEA,15.96
,,,,,,,,,,,,,,,SP,Bryce Miller (43755903),Bryce Miller,43755903,P,9000,DET@SEA 08/05/2026 09:40PM ET,SEA,18.7
