Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5210209363,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,1. Column A lists all of your contest entries for this draftgroup
5210215408,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,2. Your current lineup is listed next to each entry (blank for reservations)
5210215409,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5210215410,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5210215411,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,5. For faster processing only include entries you are changing in the file you upload
5210215412,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,
5210215413,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5210215414,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Chris Sale (43764430),Chris Sale,43764430,P,10600,MIA@ATL 08/06/2026 07:15PM ET,ATL,23.29
5210215415,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Spencer Schwellenbach (43764431),Spencer Schwellenbach,43764431,P,9600,MIA@ATL 08/06/2026 07:15PM ET,ATL,0
5210215416,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,RP,Spencer Strider (43764432),Spencer Strider,43764432,P,9600,MIA@ATL 08/06/2026 07:15PM ET,ATL,14.67
5210215417,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Max Meyer (43764433),Max Meyer,43764433,P,9100,MIA@ATL 08/06/2026 07:15PM ET,MIA,19.10
5210215418,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Nick Pivetta (43764434),Nick Pivetta,43764434,P,9000,SD@ARI 08/06/2026 09:40PM ET,SD,15.3
5210215419,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Casey Mize (43764435),Casey Mize,43764435,P,9000,SD@ARI 08/06/2026 09:40PM ET,SD,15.48
5210215420,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Joe Ryan (43764436),Joe Ryan,43764436,P,8900,MIN@KC 08/06/2026 07:40PM ET,MIN,16.49
5210215421,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Ranger Suarez (43764247),Ranger Suarez,43764247,P,8800,CWS@BOS 08/06/2026 07:10PM ET,BOS,16.33
5210215422,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Garrett Crochet (43764437),Garrett Crochet,43764437,P,8800,CWS@BOS 08/06/2026 07:10PM ET,BOS,13.78
5210215423,MLB $5K Solo Shot [$1K to 1st],193303591,$1,Kohl Drake (43764254),Janson Junk (43764253),Edgar Quero (43764406),LuJames Groover (43764419),Mason McCoy (43764420),Maximo Acosta (43764416),Ha-Seong Kim (43764368),Tanner Murray (43764404),Alan Roden (43764367),Eli White (43764363),,SP,Sonny Gray (43764438),Sonny Gray,43764438,P,8800,CWS@BOS 08/06/2026 07:10PM ET,BOS,18.00
