Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5211324838,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,1. Column A lists all of your contest entries for this draftgroup
5211324977,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,2. Your current lineup is listed next to each entry (blank for reservations)
5211324978,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5211324979,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5211324980,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,5. For faster processing only include entries you are changing in the file you upload
5211324981,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,
5211324982,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5211324983,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Jacob Misiorowski (43773082),Jacob Misiorowski,43773082,P,12200,MIN@MIL 08/07/2026 07:40PM ET,MIL,29.41
5211324984,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Cam Schlittler (43773083),Cam Schlittler,43773083,P,11700,ATL@NYY 08/07/2026 07:05PM ET,NYY,22.62
5211324985,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Tarik Skubal (43773084),Tarik Skubal,43773084,P,11300,LAD@ARI 08/07/2026 09:40PM ET,LAD,22.36
5211324986,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Tyler Glasnow (43773085),Tyler Glasnow,43773085,P,10800,LAD@ARI 08/07/2026 09:40PM ET,LAD,22.21
5211324987,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Chris Sale (43772508),Chris Sale,43772508,P,10700,ATL@NYY 08/07/2026 07:05PM ET,ATL,23.29
5211324988,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Yoshinobu Yamamoto (43773086),Yoshinobu Yamamoto,43773086,P,10300,LAD@ARI 08/07/2026 09:40PM ET,LAD,21.73
5211324989,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Logan Henderson (43773087),Logan Henderson,43773087,P,10200,MIN@MIL 08/07/2026 07:40PM ET,MIL,20.29
5211324990,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Logan Gilbert (43772509),Logan Gilbert,43772509,P,10000,TB@SEA 08/07/2026 09:45PM ET,SEA,19.31
5211324991,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Drew Rasmussen (43772510),Drew Rasmussen,43772510,P,9700,TB@SEA 08/07/2026 09:45PM ET,TB,19.22
5211324992,MLB $7.5K Solo Shot,193355900,$1,Adrian Houser (43772529),Noah Schultz (43772528),Jhonny Pereda (43772757),Bryce Eldridge (43772637),Anthony Seigler (43772703),Brendan Donovan (43772704),Tyler Tolbert (43772715),Jac Caglianone (43772586),Jake McCarthy (43772589),Ceddanne Rafaela (43772588),,SP,Gerrit Cole (43773088),Gerrit Cole,43773088,P,9700,ATL@NYY 08/07/2026 07:05PM ET,NYY,18.20
