Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5211218443,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,1. Column A lists all of your contest entries for this draftgroup
5211218638,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,2. Your current lineup is listed next to each entry (blank for reservations)
5211218639,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5211218640,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5211218641,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,5. For faster processing only include entries you are changing in the file you upload
5211218642,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,
5211218643,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5211218644,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,SP,Dylan Cease (43773826),Dylan Cease,43773826,P,10700,TOR@PHI 08/07/2026 06:40PM ET,TOR,25.73
5211218645,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,SP,Zack Wheeler (43773669),Zack Wheeler,43773669,P,10500,TOR@PHI 08/07/2026 06:40PM ET,PHI,22.86
5211218646,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,SP,Cristopher Sanchez (43773827),Cristopher Sanchez,43773827,P,10500,TOR@PHI 08/07/2026 06:40PM ET,PHI,22.90
5211218647,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,RP,Paul Skenes (43773828),Paul Skenes,43773828,P,10000,NYM@PIT 08/07/2026 06:40PM ET,PIT,18.28
5211218648,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,SP,Chase Burns (43773670),Chase Burns,43773670,P,9500,CIN@WSH 08/07/2026 06:45PM ET,CIN,21.54
5211218649,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,SP,Jesus Luzardo (43773829),Jesus Luzardo,43773829,P,9500,TOR@PHI 08/07/2026 06:40PM ET,PHI,20.49
5211218650,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,RP,Braxton Ashcraft (43773830),Braxton Ashcraft,43773830,P,9000,NYM@PIT 08/07/2026 06:40PM ET,PIT,18.08
5211218651,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,SP,Trey Yesavage (43773832),Trey Yesavage,43773832,P,8700,TOR@PHI 08/07/2026 06:40PM ET,TOR,15.08
5211218652,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,RP,Nolan McLean (43773831),Nolan McLean,43773831,P,8700,NYM@PIT 08/07/2026 06:40PM ET,NYM,19
5211218653,MLB $2K Solo Shot (Turbo),193355899,$1,Carmen Mlodzinski (43773674),Chase Petty (43773878),Willie MacIver (43773803),Eric Wagaman (43773756),Ronny Simon (43773765),Ke'Bryan Hayes (43773768),Ronny Mauricio (43773794),Carson Benge (43773700),A.J. Ewing (43773695),George Springer (43773696),,SP,Connelly Early (43773833),Connelly Early,43773833,P,8500,CIN@WSH 08/07/2026 06:45PM ET,WSH,16.23
