Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5212210414,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,1. Column A lists all of your contest entries for this draftgroup
5212210641,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,2. Your current lineup is listed next to each entry (blank for reservations)
5212210642,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5212210643,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5212210644,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,5. For faster processing only include entries you are changing in the file you upload
5212210645,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,
5212210646,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5212210647,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Cam Schlittler (43784189),Cam Schlittler,43784189,P,11800,ATL@NYY 08/08/2026 03:05PM ET,NYY,22.62
5212210648,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Chris Sale (43784041),Chris Sale,43784041,P,9700,ATL@NYY 08/08/2026 03:05PM ET,ATL,23.29
5212210649,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Spencer Schwellenbach (43784190),Spencer Schwellenbach,43784190,P,9600,ATL@NYY 08/08/2026 03:05PM ET,ATL,0
5212210650,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,RP,Spencer Strider (43784191),Spencer Strider,43784191,P,9500,ATL@NYY 08/08/2026 03:05PM ET,ATL,14.67
5212210651,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Max Meyer (43784192),Max Meyer,43784192,P,9300,LAA@MIA 08/08/2026 04:10PM ET,MIA,19.10
5212210652,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Garrett Crochet (43784193),Garrett Crochet,43784193,P,9000,ATH@BOS 08/08/2026 04:10PM ET,BOS,13.78
5212210653,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Carlos Rodon (43784194),Carlos Rodon,43784194,P,9000,ATL@NYY 08/08/2026 03:05PM ET,NYY,17.21
5212210654,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,RP,Ryan Weathers (43784195),Ryan Weathers,43784195,P,9000,ATL@NYY 08/08/2026 03:05PM ET,NYY,16.53
5212210655,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Sonny Gray (43784197),Sonny Gray,43784197,P,8900,ATH@BOS 08/08/2026 04:10PM ET,BOS,18.00
5212210656,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Gerrit Cole (43784042),Gerrit Cole,43784042,P,8900,ATL@NYY 08/08/2026 03:05PM ET,NYY,18.20
5212210657,MLB $2.5K Solo Shot (Early),193405187,$1,Jake Bennett (43784045),Gage Jump (43784046),Tyler Heineman (43784131),Deyvison De Los Santos (43784186),Jonathan Ornelas (43784128),Tommy White (43784099),Jared Serna (43784165),Gustavo Campero (43784176),Christian Moore (43784172),Kyren Paris (43784171),,SP,Max Fried (43784196),Max Fried,43784196,P,8900,ATL@NYY 08/08/2026 03:05PM ET,NYY,17.74
