Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5213207899,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,1. Column A lists all of your contest entries for this draftgroup
5213219422,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,2. Your current lineup is listed next to each entry (blank for reservations)
5213219423,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5213219424,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5213219425,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,5. For faster processing only include entries you are changing in the file you upload
5213219426,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,
5213219427,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5213219428,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Jacob Misiorowski (43790666),Jacob Misiorowski,43790666,P,12600,MIN@MIL 08/09/2026 02:10PM ET,MIL,29.41
5213219429,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Cam Schlittler (43790667),Cam Schlittler,43790667,P,11700,ATL@NYY 08/09/2026 01:35PM ET,NYY,22.62
5213219430,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Zack Wheeler (43791166),Zack Wheeler,43791166,P,10600,TOR@PHI 08/09/2026 01:35PM ET,PHI,22.12
5213219431,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Dylan Cease (43791167),Dylan Cease,43791167,P,10500,TOR@PHI 08/09/2026 01:35PM ET,TOR,25.73
5213219432,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Cristopher Sanchez (43791168),Cristopher Sanchez,43791168,P,10500,TOR@PHI 08/09/2026 01:35PM ET,PHI,22.90
5213219433,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Logan Henderson (43791169),Logan Henderson,43791169,P,10400,MIN@MIL 08/09/2026 02:10PM ET,MIL,20.29
5213219434,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Jesus Luzardo (43790668),Jesus Luzardo,43790668,P,10200,TOR@PHI 08/09/2026 01:35PM ET,PHI,20.49
5213219435,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Gavin Williams (43791170),Gavin Williams,43791170,P,9900,CLE@CWS 08/09/2026 02:10PM ET,CLE,22.26
5213219436,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,RP,Kyle Harrison (43791171),Kyle Harrison,43791171,P,9800,MIN@MIL 08/09/2026 02:10PM ET,MIL,19.11
5213219437,MLB $6K Solo Shot,193451361,$1,Grant Holmes (43790683),Grayson Rodriguez (43790682),Logan O'Hoppe (43791137),Charles McAdoo (43791127),Adael Amador (43791139),Graham Pauley (43791077),Ha-Seong Kim (43790985),Jose Fermin (43790825),Michael Harris II (43790762),Jakob Marsee (43790827),,SP,Paul Skenes (43791173),Paul Skenes,43791173,P,9700,NYM@PIT 08/09/2026 01:35PM ET,PIT,18.28
