Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5214518969,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,1. Column A lists all of your contest entries for this draftgroup
5214528338,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,2. Your current lineup is listed next to each entry (blank for reservations)
5214528339,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5214528340,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5214528341,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,5. For faster processing only include entries you are changing in the file you upload
5214528342,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,
5214528343,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5214528344,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,SP,Jacob Misiorowski (43799256),Jacob Misiorowski,43799256,P,12200,MIL@SD 08/10/2026 09:40PM ET,MIL,29.09
5214528345,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,SP,Tyler Glasnow (43798876),Tyler Glasnow,43798876,P,10700,KC@LAD 08/10/2026 10:10PM ET,LAD,22.21
5214528346,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,SP,Tarik Skubal (43799103),Tarik Skubal,43799103,P,10700,KC@LAD 08/10/2026 10:10PM ET,LAD,22.36
5214528347,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,SP,Logan Henderson (43799282),Logan Henderson,43799282,P,10200,MIL@SD 08/10/2026 09:40PM ET,MIL,20.29
5214528348,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,SP,Drew Rasmussen (43798956),Drew Rasmussen,43798956,P,9700,TB@ATH 08/10/2026 09:40PM ET,TB,19.86
5214528349,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,SP,Yoshinobu Yamamoto (43799054),Yoshinobu Yamamoto,43799054,P,9700,KC@LAD 08/10/2026 10:10PM ET,LAD,21.68
5214528350,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,SP,Nathan Eovaldi (43798829),Nathan Eovaldi,43798829,P,9500,TEX@LAA 08/10/2026 09:38PM ET,TEX,17.65
5214528351,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,SP,Jacob deGrom (43798853),Jacob deGrom,43798853,P,9500,TEX@LAA 08/10/2026 09:38PM ET,TEX,18.39
5214528352,MLB $2.5K Solo Shot (Night),193506041,$1,Gabriel Hughes (43799346),Jacob Lopez (43799166),Dalton Rushing (43799351),LuJames Groover (43799257),Christian Moore (43799408),Oliver Dunn (43799190),Carlos Correa (43798888),Cam Cauley (43799299),Zach Cole (43799371),Kyle Isbel (43799072),,SP,Blake Snell (43798874),Blake Snell,43798874,P,9200,KC@LAD 08/10/2026 10:10PM ET,LAD,3.95
5214528134,MLB $5K Chin Music [Single Entry] (Night),193506059,$5,Reid Detmers (43799104),Michael Soroka (43798981),Nick Fortes (43799148),Jake Bauers (43798916),Brice Turang (43799139),Junior Caminero (43799330),Taylor Walls (43799008),Akil Baddoo (43799021),Teoscar Hernandez (43798869),Ryan Vilade (43799081),,SP,Brandon Woodruff (43798878),Brandon Woodruff,43798878,P,9200,MIL@SD 08/10/2026 09:40PM ET,MIL,16.73
