Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5214517382,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Tommy White (43796089),Jeff McNeil (43796154),Junior Caminero (43795930),Taylor Walls (43796061),Lawrence Butler (43796048),Jonny DeLuca (43795973),Ryan Vilade (43796074),,1. Column A lists all of your contest entries for this draftgroup
5214517383,MLB $6K Solo Shot,193506038,$1,Noah Cameron (43795918),Logan Henderson (43795908),Jonah Heim (43796004),Jeff McNeil (43796154),Richie Palacios (43796067),Junior Caminero (43795930),Jacob Wilson (43795985),Lawrence Butler (43796048),Chandler Simpson (43795987),Ryan Vilade (43796074),,2. Your current lineup is listed next to each entry (blank for reservations)
5214517384,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Ryan Vilade (43796074),Richie Palacios (43796067),Isaac Paredes (43796019),Taylor Walls (43796061),Henry Bolte (43796038),Jonny DeLuca (43795973),Tyler Soderstrom (43795956),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5214517385,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Jonathan Aranda (43795976),Richie Palacios (43796067),Junior Caminero (43795930),Alika Williams (43796217),Henry Bolte (43796038),Lawrence Butler (43796048),Ryan Vilade (43796074),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5214517386,MLB $6K Solo Shot,193506038,$1,Logan Henderson (43795908),Gabriel Hughes (43795921),Jonah Heim (43796004),Jonathan Aranda (43795976),Jeff McNeil (43796154),Junior Caminero (43795930),Alika Williams (43796217),Lawrence Butler (43796048),Tyler Soderstrom (43795956),Ryan Vilade (43796074),,5. For faster processing only include entries you are changing in the file you upload
5214518025,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Jonathan Aranda (43795976),Richie Palacios (43796067),Yandy Diaz (43795950),Alika Williams (43796217),Jonny DeLuca (43795973),Grant McCray (43796179),Tyler Soderstrom (43795956),,
5214518026,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Yandy Diaz (43795950),Jeff McNeil (43796154),Tommy White (43796089),Jacob Wilson (43795985),Lawrence Butler (43796048),Chandler Simpson (43795987),Ryan Vilade (43796074),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5214518027,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Ryan Vilade (43796074),Donovan Walton (43796125),Junior Caminero (43795930),Alika Williams (43796217),Lawrence Butler (43796048),Jonny DeLuca (43795973),Chandler Simpson (43795987),,SP,Jacob Misiorowski (43796409),Jacob Misiorowski,43796409,P,12200,MIL@SD 08/10/2026 09:40PM ET,MIL,29.09
5214518028,MLB $6K Solo Shot,193506038,$1,Logan Henderson (43795908),Tarik Skubal (43795907),Nick Fortes (43796045),Jonathan Aranda (43795976),Jeff McNeil (43796154),Tommy White (43796089),Taylor Walls (43796061),Jonny DeLuca (43795973),Taylor Trammell (43796046),Ryan Vilade (43796074),,SP,Tarik Skubal (43795907),Tarik Skubal,43795907,P,10700,KC@LAD 08/10/2026 10:10PM ET,LAD,22.36
5214518029,MLB $6K Solo Shot,193506038,$1,MacKenzie Gore (43795912),Logan Henderson (43795908),Jonah Heim (43796004),Ryan Vilade (43796074),Jeff McNeil (43796154),Yandy Diaz (43795950),Alika Williams (43796217),Henry Bolte (43796038),Lawrence Butler (43796048),Chandler Simpson (43795987),,SP,Tyler Glasnow (43796410),Tyler Glasnow,43796410,P,10700,KC@LAD 08/10/2026 10:10PM ET,LAD,22.21
5214518030,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Salvador Perez (43796072),Jonathan Aranda (43795976),Richie Palacios (43796067),Tommy White (43796089),Taylor Walls (43796061),Henry Bolte (43796038),Jonny DeLuca (43795973),Chandler Simpson (43795987),,SP,Dylan Cease (43796411),Dylan Cease,43796411,P,10300,BOS@TOR 08/10/2026 07:07PM ET,TOR,25.73
5214518031,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Nick Fortes (43796045),Jeff McNeil (43796154),Donovan Walton (43796125),Yandy Diaz (43795950),Taylor Walls (43796061),Jonny DeLuca (43795973),Chandler Simpson (43795987),Daulton Varsho (43796055),,SP,Logan Henderson (43795908),Logan Henderson,43795908,P,10200,MIL@SD 08/10/2026 09:40PM ET,MIL,20.29
5214518032,MLB $6K Solo Shot,193506038,$1,MacKenzie Gore (43795912),Logan Henderson (43795908),Luke Maile (43796185),Tommy White (43796089),Donovan Walton (43796125),Yandy Diaz (43795950),Jacob Wilson (43795985),Henry Bolte (43796038),Lawrence Butler (43796048),Jonny DeLuca (43795973),,SP,Zack Wheeler (43796412),Zack Wheeler,43796412,P,10000,PHI@STL 08/10/2026 07:45PM ET,PHI,22.12
5214518033,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Jonah Heim (43796004),Jeff McNeil (43796154),Alika Williams (43796217),Yandy Diaz (43795950),Jacob Wilson (43795985),Lawrence Butler (43796048),Jonny DeLuca (43795973),Jackson Merrill (43795986),,SP,Cristopher Sanchez (43796413),Cristopher Sanchez,43796413,P,10000,PHI@STL 08/10/2026 07:45PM ET,PHI,22.90
5214518034,MLB $6K Solo Shot,193506038,$1,Logan Henderson (43795908),Gabriel Hughes (43795921),Nick Fortes (43796045),Tommy White (43796089),Richie Palacios (43796067),Junior Caminero (43795930),Alika Williams (43796217),Henry Bolte (43796038),Chandler Simpson (43795987),Tyler Soderstrom (43795956),,SP,Drew Rasmussen (43796415),Drew Rasmussen,43796415,P,9700,TB@ATH 08/10/2026 09:40PM ET,TB,19.86
5214518035,MLB $6K Solo Shot,193506038,$1,Reid Detmers (43795911),Logan Henderson (43795908),Carlos Narvaez (43796219),Willson Contreras (43795944),Jackson Holliday (43796091),Yandy Diaz (43795950),Gunnar Henderson (43795963),Colton Cowser (43796191),Tyler O'Neill (43796163),Ryan Vilade (43796074),,SP,Yoshinobu Yamamoto (43796414),Yoshinobu Yamamoto,43796414,P,9700,KC@LAD 08/10/2026 10:10PM ET,LAD,21.68
5214518036,MLB $6K Solo Shot,193506038,$1,Logan Henderson (43795908),Christian Scott (43795916),Carlos Narvaez (43796219),Pete Alonso (43795947),Richie Palacios (43796067),Coby Mayo (43796109),Gunnar Henderson (43795963),Tyler O'Neill (43796163),Chandler Simpson (43795987),Ryan Vilade (43796074),,SP,Chris Sale (43796416),Chris Sale,43796416,P,9600,NYM@ATL 08/10/2026 07:15PM ET,ATL,23.10
