Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5216042666,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,1. Column A lists all of your contest entries for this draftgroup
5216048041,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,2. Your current lineup is listed next to each entry (blank for reservations)
5216048042,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5216048043,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5216048044,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,5. For faster processing only include entries you are changing in the file you upload
5216048045,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,
5216048046,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5216048047,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Jacob Misiorowski (43812681),Jacob Misiorowski,43812681,P,12300,MIL@SD 08/12/2026 04:10PM ET,MIL,29.09
5216048048,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Zack Wheeler (43812379),Zack Wheeler,43812379,P,10700,PHI@STL 08/12/2026 02:15PM ET,PHI,22.12
5216048049,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Cristopher Sanchez (43812682),Cristopher Sanchez,43812682,P,10700,PHI@STL 08/12/2026 02:15PM ET,PHI,22.99
5216048050,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Logan Henderson (43812683),Logan Henderson,43812683,P,10300,MIL@SD 08/12/2026 04:10PM ET,MIL,20.14
5216048051,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Jesus Luzardo (43812685),Jesus Luzardo,43812685,P,9700,PHI@STL 08/12/2026 02:15PM ET,PHI,21.00
5216048052,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Hunter Brown (43812684),Hunter Brown,43812684,P,9700,HOU@SF 08/12/2026 03:45PM ET,HOU,15.52
5216048053,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,RP,Kyle Harrison (43812686),Kyle Harrison,43812686,P,9300,MIL@SD 08/12/2026 04:10PM ET,MIL,17.72
5216048054,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Brandon Woodruff (43812687),Brandon Woodruff,43812687,P,9300,MIL@SD 08/12/2026 04:10PM ET,MIL,16.73
5216048055,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Nick Pivetta (43812688),Nick Pivetta,43812688,P,9000,MIL@SD 08/12/2026 04:10PM ET,SD,15.3
5216048056,MLB $5K Solo Shot [$1K to 1st] (Early),193621095,$1,Adrian Houser (43812390),Jack Perkins (43812389),Rodolfo Duran (43812678),LuJames Groover (43812651),Thomas Saggese (43812670),Buddy Kennedy (43812569),Oliver Dunn (43812676),Justin Crawford (43812510),Bryan Torres (43812509),Taylor Trammell (43812476),,SP,Casey Mize (43812689),Casey Mize,43812689,P,9000,MIL@SD 08/12/2026 04:10PM ET,SD,15.58
