Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5216043810,MLB $5K Solo Shot [$1K to 1st],193621100,$1,Bryce Miller (43813263),Ranger Suarez (43813264),Drake Baldwin (43813288),Matt Olson (43813283),Marcus Semien (43813352),Jorge Polanco (43813435),Francisco Lindor (43813302),Ronald Acuna Jr. (43813280),Jahmai Jones (43813424),Alejandro Osuna (43813497),,1. Column A lists all of your contest entries for this draftgroup
5216043811,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,2. Your current lineup is listed next to each entry (blank for reservations)
5216043812,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5216043813,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5216043814,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,5. For faster processing only include entries you are changing in the file you upload
5216043815,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,
5216043816,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5216043817,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Cam Schlittler (43813564),Cam Schlittler,43813564,P,11500,SEA@NYY 08/12/2026 07:05PM ET,NYY,23.07
5216043818,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Chase Burns (43813565),Chase Burns,43813565,P,11000,CIN@CWS 08/12/2026 07:40PM ET,CIN,20.96
5216043819,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Dylan Cease (43813566),Dylan Cease,43813566,P,10700,BOS@TOR 08/12/2026 07:07PM ET,TOR,25.19
5216043820,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Tarik Skubal (43813567),Tarik Skubal,43813567,P,10500,KC@LAD 08/12/2026 10:10PM ET,LAD,21.85
5216043821,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Tyler Glasnow (43813568),Tyler Glasnow,43813568,P,10500,KC@LAD 08/12/2026 10:10PM ET,LAD,22.21
5216043822,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Chris Sale (43813569),Chris Sale,43813569,P,10200,NYM@ATL 08/12/2026 07:15PM ET,ATL,23.10
5216043823,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Yoshinobu Yamamoto (43813570),Yoshinobu Yamamoto,43813570,P,10000,KC@LAD 08/12/2026 10:10PM ET,LAD,21.68
5216043824,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Spencer Schwellenbach (43813572),Spencer Schwellenbach,43813572,P,9700,NYM@ATL 08/12/2026 07:15PM ET,ATL,0
5216043825,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Bryce Miller (43813263),Bryce Miller,43813263,P,9700,SEA@NYY 08/12/2026 07:05PM ET,SEA,18.01
5216043826,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Logan Gilbert (43813571),Logan Gilbert,43813571,P,9700,SEA@NYY 08/12/2026 07:05PM ET,SEA,19.26
5216043827,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,George Kirby (43813573),George Kirby,43813573,P,9700,SEA@NYY 08/12/2026 07:05PM ET,SEA,15.68
5216043828,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,SP,Blake Snell (43813574),Blake Snell,43813574,P,9500,KC@LAD 08/12/2026 10:10PM ET,LAD,16.52
5216048681,MLB $5K Solo Shot [$1K to 1st],193621100,$1,George Klassen (43813273),Cal Quantrill (43813272),Logan O'Hoppe (43813544),Eric Wagaman (43813550),Davis Schneider (43813516),Josh Smith (43813441),Tsung-Che Cheng (43813554),Brandon Nimmo (43813329),Heliot Ramos (43813325),Taylor Ward (43813330),,RP,Nolan McLean (43813575),Nolan McLean,43813575,P,9200,NYM@ATL 08/12/2026 07:15PM ET,NYM,18.86
,,,,,,,,,,,,,,,SP,Nathan Eovaldi (43813576),Nathan Eovaldi,43813576,P,9200,TEX@LAA 08/12/2026 10:10PM ET,TEX,17.65
,,,,,,,,,,,,,,,SP,Jacob deGrom (43813577),Jacob deGrom,43813577,P,9200,TEX@LAA 08/12/2026 10:10PM ET,TEX,18.39
,,,,,,,,,,,,,,,SP,Ranger Suarez (43813264),Ranger Suarez,43813264,P,9000,BOS@TOR 08/12/2026 07:07PM ET,BOS,15.67
,,,,,,,,,,,,,,,SP,Payton Tolle (43813580),Payton Tolle,43813580,P,9000,BOS@TOR 08/12/2026 07:07PM ET,BOS,19.13
,,,,,,,,,,,,,,,SP,Garrett Crochet (43813581),Garrett Crochet,43813581,P,9000,BOS@TOR 08/12/2026 07:07PM ET,BOS,13.78
,,,,,,,,,,,,,,,SP,Sonny Gray (43813582),Sonny Gray,43813582,P,9000,BOS@TOR 08/12/2026 07:07PM ET,BOS,17.76
,,,,,,,,,,,,,,,SP,Max Fried (43813578),Max Fried,43813578,P,9000,SEA@NYY 08/12/2026 07:05PM ET,NYY,17.74
,,,,,,,,,,,,,,,SP,Gerrit Cole (43813579),Gerrit Cole,43813579,P,9000,SEA@NYY 08/12/2026 07:05PM ET,NYY,19.05
,,,,,,,,,,,,,,,SP,Jose Soriano (43813265),Jose Soriano,43813265,P,8700,BOS@TOR 08/12/2026 07:07PM ET,TOR,16.97
,,,,,,,,,,,,,,,SP,Cody Ponce (43813583),Cody Ponce,43813583,P,8700,BOS@TOR 08/12/2026 07:07PM ET,TOR,8.05
,,,,,,,,,,,,,,,SP,Trey Yesavage (43813585),Trey Yesavage,43813585,P,8700,BOS@TOR 08/12/2026 07:07PM ET,TOR,15.08
,,,,,,,,,,,,,,,RP,Spencer Strider (43813584),Spencer Strider,43813584,P,8700,NYM@ATL 08/12/2026 07:15PM ET,ATL,14.67
,,,,,,,,,,,,,,,SP,Bryan Woo (43813586),Bryan Woo,43813586,P,8700,SEA@NYY 08/12/2026 07:05PM ET,SEA,16.55
,,,,,,,,,,,,,,,SP,Sean Burke (43813587),Sean Burke,43813587,P,8500,CIN@CWS 08/12/2026 07:40PM ET,CWS,18.93
,,,,,,,,,,,,,,,SP,Kris Bubic (43813588),Kris Bubic,43813588,P,8500,KC@LAD 08/12/2026 10:10PM ET,LAD,15.94
,,,,,,,,,,,,,,,SP,Roki Sasaki (43813589),Roki Sasaki,43813589,P,8500,KC@LAD 08/12/2026 10:10PM ET,LAD,13.94
,,,,,,,,,,,,,,,SP,Justin Wrobleski (43813590),Justin Wrobleski,43813590,P,8500,KC@LAD 08/12/2026 10:10PM ET,LAD,16.40
,,,,,,,,,,,,,,,SP,Michael Wacha (43813591),Michael Wacha,43813591,P,8500,KC@LAD 08/12/2026 10:10PM ET,KC,15.42
,,,,,,,,,,,,,,,SP,Cole Ragans (43813592),Cole Ragans,43813592,P,8500,KC@LAD 08/12/2026 10:10PM ET,KC,13.19
,,,,,,,,,,,,,,,SP,Zac Thornton (43813266),Zac Thornton,43813266,P,8200,NYM@ATL 08/12/2026 07:15PM ET,NYM,15.24
,,,,,,,,,,,,,,,SP,Tylor Megill (43813595),Tylor Megill,43813595,P,8200,NYM@ATL 08/12/2026 07:15PM ET,NYM,0
,,,,,,,,,,,,,,,SP,Christian Scott (43813596),Christian Scott,43813596,P,8200,NYM@ATL 08/12/2026 07:15PM ET,NYM,15.23
