Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5222785878,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,1. Column A lists all of your contest entries for this draftgroup
5222795178,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,2. Your current lineup is listed next to each entry (blank for reservations)
5222795179,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5222795180,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5222795181,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,5. For faster processing only include entries you are changing in the file you upload
5222795182,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,
5222795183,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5222795184,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Cam Schlittler (43859672),Cam Schlittler,43859672,P,11300,NYY@BAL 08/18/2026 06:35PM ET,NYY,22.95
5222795185,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Zack Wheeler (43859364),Zack Wheeler,43859364,P,10800,MIA@PHI 08/18/2026 06:40PM ET,PHI,21.44
5222795186,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Cristopher Sanchez (43859673),Cristopher Sanchez,43859673,P,10800,MIA@PHI 08/18/2026 06:40PM ET,PHI,22.91
5222795187,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Dylan Cease (43859674),Dylan Cease,43859674,P,10600,TOR@TB 08/18/2026 06:40PM ET,TOR,25.28
5222795188,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Chase Burns (43859675),Chase Burns,43859675,P,10500,STL@CIN 08/18/2026 06:40PM ET,CIN,21.49
5222795189,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Gavin Williams (43859676),Gavin Williams,43859676,P,10300,SF@CLE 08/18/2026 06:40PM ET,CLE,21.50
5222795190,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Jesus Luzardo (43859677),Jesus Luzardo,43859677,P,10300,MIA@PHI 08/18/2026 06:40PM ET,PHI,21.35
5222795191,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Troy Melton (43859678),Troy Melton,43859678,P,9800,DET@PIT 08/18/2026 06:40PM ET,DET,20.10
5222795192,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Braxton Ashcraft (43859365),Braxton Ashcraft,43859365,P,9300,DET@PIT 08/18/2026 06:40PM ET,PIT,19.09
5222795193,MLB $3K Solo Shot (Turbo),193962612,$1,Tyler Phillips (43859375),Carson Whisenhunt (43859374),Joe Mack (43859500),Nick Yorke (43859547),Josh Smith (43859539),Amed Rosario (43859484),Jared Serna (43859635),Brett Callahan (43859553),Hector Rodriguez (43859554),Johnathan Rodriguez (43859610),,SP,Paul Skenes (43859679),Paul Skenes,43859679,P,9300,DET@PIT 08/18/2026 06:40PM ET,PIT,18.07
