Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5223541902,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,1. Column A lists all of your contest entries for this draftgroup
5223541944,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,2. Your current lineup is listed next to each entry (blank for reservations)
5223541945,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5223541946,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5223541947,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,5. For faster processing only include entries you are changing in the file you upload
5223541948,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,
5223541949,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5223541950,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Chris Sale (43868610),Chris Sale,43868610,P,10500,ATL@MIN 08/19/2026 01:40PM ET,ATL,23.26
5223541951,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Troy Melton (43868814),Troy Melton,43868814,P,9700,DET@PIT 08/19/2026 12:35PM ET,DET,20.10
5223541952,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Nick Pivetta (43868813),Nick Pivetta,43868813,P,9700,SD@NYM 08/19/2026 01:10PM ET,SD,15.3
5223541953,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Paul Skenes (43868611),Paul Skenes,43868611,P,9500,DET@PIT 08/19/2026 12:35PM ET,PIT,18.07
5223541954,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,RP,Braxton Ashcraft (43868815),Braxton Ashcraft,43868815,P,9500,DET@PIT 08/19/2026 12:35PM ET,PIT,19.32
5223541955,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,RP,Ben Brown (43868816),Ben Brown,43868816,P,9200,CWS@CHC 08/19/2026 02:20PM ET,CHC,11.57
5223541956,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Nolan McLean (43868817),Nolan McLean,43868817,P,9000,SD@NYM 08/19/2026 01:10PM ET,NYM,18.70
5223541957,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Joe Musgrove (43868818),Joe Musgrove,43868818,P,8700,SD@NYM 08/19/2026 01:10PM ET,SD,0
5223541958,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Robbie Ray (43868819),Robbie Ray,43868819,P,8700,SD@NYM 08/19/2026 01:10PM ET,SD,15.22
5223541959,MLB $5K Solo Shot [$1K to 1st] (Early),194022269,$1,Sean Newcomb (43868990),Robert Stock (43868617),Shawn Ross (43868778),Alex Jackson (43868717),Jorge Polanco (43868732),Sung-Mun Song (43868728),Ha-Seong Kim (43868740),Michael Conforto (43868685),Mauricio Dubon (43868683),Ian Happ (43868656),,SP,Casey Mize (43868820),Casey Mize,43868820,P,8700,SD@NYM 08/19/2026 01:10PM ET,SD,15.87
