Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5225703631,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,1. Column A lists all of your contest entries for this draftgroup
5225704150,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,2. Your current lineup is listed next to each entry (blank for reservations)
5225704151,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5225704152,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5225704153,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,5. For faster processing only include entries you are changing in the file you upload
5225704154,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,
5225704155,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5225704156,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Cam Schlittler (43896498),Cam Schlittler,43896498,P,11000,TOR@NYY 08/21/2026 07:05PM ET,NYY,22.95
5225704157,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Yoshinobu Yamamoto (43896499),Yoshinobu Yamamoto,43896499,P,10600,PIT@LAD 08/21/2026 10:10PM ET,LAD,22.05
5225704158,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Chase Burns (43897165),Chase Burns,43897165,P,10500,CIN@ARI 08/21/2026 09:40PM ET,CIN,21.37
5225704159,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Dylan Cease (43897164),Dylan Cease,43897164,P,10500,TOR@NYY 08/21/2026 07:05PM ET,TOR,25.28
5225704160,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Tyler Glasnow (43897166),Tyler Glasnow,43897166,P,10400,PIT@LAD 08/21/2026 10:10PM ET,LAD,22.21
5225704161,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Tarik Skubal (43897167),Tarik Skubal,43897167,P,10300,PIT@LAD 08/21/2026 10:10PM ET,LAD,21.76
5225704162,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Nick Pivetta (43897168),Nick Pivetta,43897168,P,9900,MIN@SD 08/21/2026 09:40PM ET,SD,15.3
5225704163,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Troy Melton (43896500),Troy Melton,43896500,P,9800,DET@KC 08/21/2026 08:10PM ET,DET,20.10
5225704164,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Blake Snell (43897169),Blake Snell,43897169,P,9500,PIT@LAD 08/21/2026 10:10PM ET,LAD,18.52
5225704165,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Gavin Williams (43897170),Gavin Williams,43897170,P,9400,CLE@COL 08/21/2026 08:40PM ET,CLE,21.85
5225704166,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Paul Skenes (43897171),Paul Skenes,43897171,P,9400,PIT@LAD 08/21/2026 10:10PM ET,PIT,17.72
5225704167,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Max Fried (43897172),Max Fried,43897172,P,9400,TOR@NYY 08/21/2026 07:05PM ET,NYY,17.43
5225704168,MLB $7.5K Solo Shot,194121760,$1,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,SP,Logan Webb (43896501),Logan Webb,43896501,P,9300,SF@BOS 08/21/2026 07:10PM ET,SF,16.58
5225704169,MLB $8K Chin Music [Single Entry],194121771,$5,Mason Fluharty (43897437),Brad Lord (43896522),Rodolfo Duran (43897149),Connor Joe (43897131),Nate Furman (43897155),James Triantos (43897158),Mason McCoy (43897122),Andrew Benintendi (43896673),Teoscar Hernandez (43896669),Max Kepler (43896670),,RP,Ben Brown (43897174),Ben Brown,43897174,P,9300,CHC@SEA 08/21/2026 10:10PM ET,CHC,11.57
,,,,,,,,,,,,,,,RP,Braxton Ashcraft (43897173),Braxton Ashcraft,43897173,P,9300,PIT@LAD 08/21/2026 10:10PM ET,PIT,19.32
,,,,,,,,,,,,,,,SP,Garrett Crochet (43897175),Garrett Crochet,43897175,P,9200,SF@BOS 08/21/2026 07:10PM ET,BOS,13.78
