Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5226681299,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,1. Column A lists all of your contest entries for this draftgroup
5226681392,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,2. Your current lineup is listed next to each entry (blank for reservations)
5226681393,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5226681394,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5226681395,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,5. For faster processing only include entries you are changing in the file you upload
5226681396,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,
5226681397,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5226681398,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Jacob Misiorowski (43905858),Jacob Misiorowski,43905858,P,12200,ATL@MIL 08/22/2026 02:10PM ET,MIL,28.74
5226681399,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Cam Schlittler (43905859),Cam Schlittler,43905859,P,11100,TOR@NYY 08/22/2026 01:35PM ET,NYY,22.77
5226681400,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Chris Sale (43905860),Chris Sale,43905860,P,10600,ATL@MIL 08/22/2026 02:10PM ET,ATL,22.97
5226681401,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Dylan Cease (43905717),Dylan Cease,43905717,P,10400,TOR@NYY 08/22/2026 01:35PM ET,TOR,25.28
5226681402,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,RP,Kyle Harrison (43905861),Kyle Harrison,43905861,P,10000,ATL@MIL 08/22/2026 02:10PM ET,MIL,18.77
5226681403,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Logan Henderson (43905718),Logan Henderson,43905718,P,9800,ATL@MIL 08/22/2026 02:10PM ET,MIL,20.74
5226681404,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Max Fried (43905862),Max Fried,43905862,P,9700,TOR@NYY 08/22/2026 01:35PM ET,NYY,17.43
5226681405,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Gerrit Cole (43905863),Gerrit Cole,43905863,P,9500,TOR@NYY 08/22/2026 01:35PM ET,NYY,19.53
5226681406,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Brandon Woodruff (43905864),Brandon Woodruff,43905864,P,8900,ATL@MIL 08/22/2026 02:10PM ET,MIL,16.73
5226681407,MLB $2.5K Solo Shot (Early),194183875,$1,Jake Irvin (43905722),Martin Perez (43905721),Bo Naylor (43905839),Deyvison De Los Santos (43905837),Davis Schneider (43905843),Jorbit Vivas (43905807),Andres Gimenez (43905791),Addison Barger (43905824),Heliot Ramos (43905745),George Springer (43905748),,SP,Spencer Schwellenbach (43905865),Spencer Schwellenbach,43905865,P,8900,ATL@MIL 08/22/2026 02:10PM ET,ATL,0
