Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
5229211197,MLB $3K Solo Shot (Turbo),194301807,$1 ,Ryan Feltner (43919826),Framber Valdez (43919824),Brian Navarreto (43919916),Leo Jimenez (43919909),Hao-Yu Lee (43919892),Jorbit Vivas (43919912),Ezequiel Tovar (43919914),Jarren Duran (43919855),Victor Mesa Jr. (43919926),Chandler Simpson (43919854),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5229211341,MLB $3K Solo Shot (Turbo),194301807,$1 ,Ryan Feltner (43919826),Framber Valdez (43919824),Brian Navarreto (43919916),Leo Jimenez (43919909),Hao-Yu Lee (43919892),Jorbit Vivas (43919912),Ezequiel Tovar (43919914),Jarren Duran (43919855),Victor Mesa Jr. (43919926),Chandler Simpson (43919854),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5229211342,MLB $3K Solo Shot (Turbo),194301807,$1 ,Ryan Feltner (43919826),Framber Valdez (43919824),Brian Navarreto (43919916),Leo Jimenez (43919909),Hao-Yu Lee (43919892),Jorbit Vivas (43919912),Ezequiel Tovar (43919914),Jarren Duran (43919855),Victor Mesa Jr. (43919926),Chandler Simpson (43919854),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5229211343,MLB $3K Solo Shot (Turbo),194301807,$1 ,Ryan Feltner (43919826),Framber Valdez (43919824),Brian Navarreto (43919916),Leo Jimenez (43919909),Hao-Yu Lee (43919892),Jorbit Vivas (43919912),Ezequiel Tovar (43919914),Jarren Duran (43919855),Victor Mesa Jr. (43919926),Chandler Simpson (43919854),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5229211344,MLB $3K Solo Shot (Turbo),194301807,$1 ,Ryan Feltner (43919826),Framber Valdez (43919824),Brian Navarreto (43919916),Leo Jimenez (43919909),Hao-Yu Lee (43919892),Jorbit Vivas (43919912),Ezequiel Tovar (43919914),Jarren Duran (43919855),Victor Mesa Jr. (43919926),Chandler Simpson (43919854),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5229211345,MLB $3K Solo Shot (Turbo),194301807,$1 ,Ryan Feltner (43919826),Framber Valdez (43919824),Brian Navarreto (43919916),Leo Jimenez (43919909),Hao-Yu Lee (43919892),Jorbit Vivas (43919912),Ezequiel Tovar (43919914),Jarren Duran (43919855),Victor Mesa Jr. (43919926),Chandler Simpson (43919854),,,,,,,,,,
5229211346,MLB $3K Solo Shot (Turbo),194301807,$1 ,Ryan Feltner (43919826),Framber Valdez (43919824),Brian Navarreto (43919916),Leo Jimenez (43919909),Hao-Yu Lee (43919892),Jorbit Vivas (43919912),Ezequiel Tovar (43919914),Jarren Duran (43919855),Victor Mesa Jr. (43919926),Chandler Simpson (43919854),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5229211347,MLB $3K Solo Shot (Turbo),194301807,$1 ,Ryan Feltner (43919826),Framber Valdez (43919824),Brian Navarreto (43919916),Leo Jimenez (43919909),Hao-Yu Lee (43919892),Jorbit Vivas (43919912),Ezequiel Tovar (43919914),Jarren Duran (43919855),Victor Mesa Jr. (43919926),Chandler Simpson (43919854),,SP,Drew Rasmussen (43919821),Drew Rasmussen,43919821,P,9500,TB@DET 08/24/2026 06:40PM ET,TB,19.18
5229211348,MLB $3K Solo Shot (Turbo),194301807,$1 ,Ryan Feltner (43919826),Framber Valdez (43919824),Brian Navarreto (43919916),Leo Jimenez (43919909),Hao-Yu Lee (43919892),Jorbit Vivas (43919912),Ezequiel Tovar (43919914),Jarren Duran (43919855),Victor Mesa Jr. (43919926),Chandler Simpson (43919854),,SP,Troy Melton (43919974),Troy Melton,43919974,P,9500,TB@DET 08/24/2026 06:40PM ET,DET,19.69
5229211349,MLB $3K Solo Shot (Turbo),194301807,$1 ,Ryan Feltner (43919826),Framber Valdez (43919824),Brian Navarreto (43919916),Leo Jimenez (43919909),Hao-Yu Lee (43919892),Jorbit Vivas (43919912),Ezequiel Tovar (43919914),Jarren Duran (43919855),Victor Mesa Jr. (43919926),Chandler Simpson (43919854),,RP,Ian Seymour (43919975),Ian Seymour,43919975,P,9500,TB@DET 08/24/2026 06:40PM ET,TB,8.6
