Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
5229799919,MLB $2.5K Solo Shot (Night),194370954,$1 ,Aaron Nola (43935567),Brady Singer (43935689),Logan Porter (43935893),Felix Reyes (43936008),Will Wagner (43936021),Daniel Schneemann (43935877),Leo Balcazar (43936034),Dominic Canzone (43935838),Bryan De La Cruz (43935635),Jose Siri (43935605),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5229799957,MLB $2.5K Solo Shot (Night),194370954,$1 ,Aaron Nola (43935567),Brady Singer (43935689),Logan Porter (43935893),Felix Reyes (43936008),Will Wagner (43936021),Daniel Schneemann (43935877),Leo Balcazar (43936034),Dominic Canzone (43935838),Bryan De La Cruz (43935635),Jose Siri (43935605),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5229799958,MLB $2.5K Solo Shot (Night),194370954,$1 ,Aaron Nola (43935567),Brady Singer (43935689),Logan Porter (43935893),Felix Reyes (43936008),Will Wagner (43936021),Daniel Schneemann (43935877),Leo Balcazar (43936034),Dominic Canzone (43935838),Bryan De La Cruz (43935635),Jose Siri (43935605),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5229799959,MLB $2.5K Solo Shot (Night),194370954,$1 ,Aaron Nola (43935567),Brady Singer (43935689),Logan Porter (43935893),Felix Reyes (43936008),Will Wagner (43936021),Daniel Schneemann (43935877),Leo Balcazar (43936034),Dominic Canzone (43935838),Bryan De La Cruz (43935635),Jose Siri (43935605),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5229799960,MLB $2.5K Solo Shot (Night),194370954,$1 ,Aaron Nola (43935567),Brady Singer (43935689),Logan Porter (43935893),Felix Reyes (43936008),Will Wagner (43936021),Daniel Schneemann (43935877),Leo Balcazar (43936034),Dominic Canzone (43935838),Bryan De La Cruz (43935635),Jose Siri (43935605),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5229799961,MLB $2.5K Solo Shot (Night),194370954,$1 ,Aaron Nola (43935567),Brady Singer (43935689),Logan Porter (43935893),Felix Reyes (43936008),Will Wagner (43936021),Daniel Schneemann (43935877),Leo Balcazar (43936034),Dominic Canzone (43935838),Bryan De La Cruz (43935635),Jose Siri (43935605),,,,,,,,,,
5229799962,MLB $2.5K Solo Shot (Night),194370954,$1 ,Aaron Nola (43935567),Brady Singer (43935689),Logan Porter (43935893),Felix Reyes (43936008),Will Wagner (43936021),Daniel Schneemann (43935877),Leo Balcazar (43936034),Dominic Canzone (43935838),Bryan De La Cruz (43935635),Jose Siri (43935605),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5229799963,MLB $2.5K Solo Shot (Night),194370954,$1 ,Aaron Nola (43935567),Brady Singer (43935689),Logan Porter (43935893),Felix Reyes (43936008),Will Wagner (43936021),Daniel Schneemann (43935877),Leo Balcazar (43936034),Dominic Canzone (43935838),Bryan De La Cruz (43935635),Jose Siri (43935605),,SP,Cristopher Sanchez (43935646),Cristopher Sanchez,43935646,P,11700,PHI@SEA 08/25/2026 09:40PM ET,PHI,22.64
5229799964,MLB $2.5K Solo Shot (Night),194370954,$1 ,Aaron Nola (43935567),Brady Singer (43935689),Logan Porter (43935893),Felix Reyes (43936008),Will Wagner (43936021),Daniel Schneemann (43935877),Leo Balcazar (43936034),Dominic Canzone (43935838),Bryan De La Cruz (43935635),Jose Siri (43935605),,SP,Chase Burns (43935997),Chase Burns,43935997,P,10800,CIN@SF 08/25/2026 09:45PM ET,CIN,20.6
5229799965,MLB $2.5K Solo Shot (Night),194370954,$1 ,Aaron Nola (43935567),Brady Singer (43935689),Logan Porter (43935893),Felix Reyes (43936008),Will Wagner (43936021),Daniel Schneemann (43935877),Leo Balcazar (43936034),Dominic Canzone (43935838),Bryan De La Cruz (43935635),Jose Siri (43935605),,SP,Zack Wheeler (43935526),Zack Wheeler,43935526,P,10700,PHI@SEA 08/25/2026 09:40PM ET,PHI,19.95
