Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5229808565,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,1. Column A lists all of your contest entries for this draftgroup
5229808591,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,2. Your current lineup is listed next to each entry (blank for reservations)
5229808592,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5229808593,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5229808594,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,5. For faster processing only include entries you are changing in the file you upload
5229808595,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,
5229808596,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5229808597,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Payton Tolle (43931420),Payton Tolle,43931420,P,9700,BOS@MIA 08/25/2026 06:40PM ET,BOS,19.22
5229808598,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Troy Melton (43931573),Troy Melton,43931573,P,9500,TB@DET 08/25/2026 06:40PM ET,DET,19.69
5229808599,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Garrett Crochet (43931574),Garrett Crochet,43931574,P,9200,BOS@MIA 08/25/2026 06:40PM ET,BOS,13.78
5229808600,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Sonny Gray (43931575),Sonny Gray,43931575,P,9200,BOS@MIA 08/25/2026 06:40PM ET,BOS,18.18
5229808601,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Cade Cavalli (43931576),Cade Cavalli,43931576,P,9000,COL@WSH 08/25/2026 06:45PM ET,WSH,17.83
5229808602,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Connelly Early (43931577),Connelly Early,43931577,P,9000,COL@WSH 08/25/2026 06:45PM ET,WSH,16.23
5229808603,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Ian Seymour (43931421),Ian Seymour,43931421,P,8700,TB@DET 08/25/2026 06:40PM ET,TB,8.6
5229808604,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Drew Rasmussen (43931578),Drew Rasmussen,43931578,P,8700,TB@DET 08/25/2026 06:40PM ET,TB,19.37
5229808605,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Ranger Suarez (43931579),Ranger Suarez,43931579,P,8700,BOS@MIA 08/25/2026 06:40PM ET,BOS,14.93
5229808606,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Max Meyer (43931580),Max Meyer,43931580,P,8500,BOS@MIA 08/25/2026 06:40PM ET,MIA,19.10
5229808607,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Eury Perez (43931581),Eury Perez,43931581,P,8500,BOS@MIA 08/25/2026 06:40PM ET,MIA,17.79
5229808608,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,SP,Sandy Alcantara (43931582),Sandy Alcantara,43931582,P,8500,BOS@MIA 08/25/2026 06:40PM ET,MIA,16.78
5229808609,MLB $2K Solo Shot (Turbo),194370928,$1,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,RP,Griffin Jax (43931583),Griffin Jax,43931583,P,8200,TB@DET 08/25/2026 06:40PM ET,TB,9.95
5229808610,MLB $1.5K Chin Music [Single Entry] (Turbo),194370930,$5,Mark Manfredi (43931710),TJ Shook (43931703),Brian Navarreto (43931515),Deyvison De Los Santos (43931517),Hao-Yu Lee (43931481),Maximo Acosta (43931561),Ezequiel Tovar (43931511),Jarren Duran (43931456),Victor Mesa Jr. (43931526),Chandler Simpson (43931452),,RP,Nick Martinez (43931584),Nick Martinez,43931584,P,7700,TB@DET 08/25/2026 06:40PM ET,TB,14.63
,,,,,,,,,,,,,,,RP,Joe Boyle (43931586),Joe Boyle,43931586,P,7700,TB@DET 08/25/2026 06:40PM ET,TB,12.39
,,,,,,,,,,,,,,,SP,Shane McClanahan (43931587),Shane McClanahan,43931587,P,7700,TB@DET 08/25/2026 06:40PM ET,TB,14.87
,,,,,,,,,,,,,,,SP,Jake Bennett (43931585),Jake Bennett,43931585,P,7700,BOS@MIA 08/25/2026 06:40PM ET,BOS,15.80
,,,,,,,,,,,,,,,SP,Jackson Jobe (43931422),Jackson Jobe,43931422,P,7500,TB@DET 08/25/2026 06:40PM ET,DET,10.1
,,,,,,,,,,,,,,,RP,Framber Valdez (43931588),Framber Valdez,43931588,P,7500,TB@DET 08/25/2026 06:40PM ET,DET,11.92
,,,,,,,,,,,,,,,SP,Reese Olson (43931589),Reese Olson,43931589,P,7500,TB@DET 08/25/2026 06:40PM ET,DET,0
