Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
5230980039,MLB $5K Solo Shot [$1K to 1st] (Early),194430221,$1 ,Nick Lodolo (43939985),Grayson Rodriguez (43939986),J.T. Realmuto (43940060),Connor Joe (43940219),Juan Brito (43940216),Gage Workman (43940188),Leo Balcazar (43940199),Rob Refsnyder (43940221),Gabriel Rincones Jr. (43940217),Bryce Teodosio (43940222),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5230980146,MLB $5K Solo Shot [$1K to 1st] (Early),194430221,$1 ,Nick Lodolo (43939985),Grayson Rodriguez (43939986),J.T. Realmuto (43940060),Connor Joe (43940219),Juan Brito (43940216),Gage Workman (43940188),Leo Balcazar (43940199),Rob Refsnyder (43940221),Gabriel Rincones Jr. (43940217),Bryce Teodosio (43940222),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5230980147,MLB $5K Solo Shot [$1K to 1st] (Early),194430221,$1 ,Nick Lodolo (43939985),Grayson Rodriguez (43939986),J.T. Realmuto (43940060),Connor Joe (43940219),Juan Brito (43940216),Gage Workman (43940188),Leo Balcazar (43940199),Rob Refsnyder (43940221),Gabriel Rincones Jr. (43940217),Bryce Teodosio (43940222),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5230980148,MLB $5K Solo Shot [$1K to 1st] (Early),194430221,$1 ,Nick Lodolo (43939985),Grayson Rodriguez (43939986),J.T. Realmuto (43940060),Connor Joe (43940219),Juan Brito (43940216),Gage Workman (43940188),Leo Balcazar (43940199),Rob Refsnyder (43940221),Gabriel Rincones Jr. (43940217),Bryce Teodosio (43940222),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5230980149,MLB $5K Solo Shot [$1K to 1st] (Early),194430221,$1 ,Nick Lodolo (43939985),Grayson Rodriguez (43939986),J.T. Realmuto (43940060),Connor Joe (43940219),Juan Brito (43940216),Gage Workman (43940188),Leo Balcazar (43940199),Rob Refsnyder (43940221),Gabriel Rincones Jr. (43940217),Bryce Teodosio (43940222),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5230980150,MLB $5K Solo Shot [$1K to 1st] (Early),194430221,$1 ,Nick Lodolo (43939985),Grayson Rodriguez (43939986),J.T. Realmuto (43940060),Connor Joe (43940219),Juan Brito (43940216),Gage Workman (43940188),Leo Balcazar (43940199),Rob Refsnyder (43940221),Gabriel Rincones Jr. (43940217),Bryce Teodosio (43940222),,,,,,,,,,
5230980151,MLB $5K Solo Shot [$1K to 1st] (Early),194430221,$1 ,Nick Lodolo (43939985),Grayson Rodriguez (43939986),J.T. Realmuto (43940060),Connor Joe (43940219),Juan Brito (43940216),Gage Workman (43940188),Leo Balcazar (43940199),Rob Refsnyder (43940221),Gabriel Rincones Jr. (43940217),Bryce Teodosio (43940222),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5230980152,MLB $5K Solo Shot [$1K to 1st] (Early),194430221,$1 ,Nick Lodolo (43939985),Grayson Rodriguez (43939986),J.T. Realmuto (43940060),Connor Joe (43940219),Juan Brito (43940216),Gage Workman (43940188),Leo Balcazar (43940199),Rob Refsnyder (43940221),Gabriel Rincones Jr. (43940217),Bryce Teodosio (43940222),,SP,Cristopher Sanchez (43940238),Cristopher Sanchez,43940238,P,11600,PHI@SEA 08/26/2026 04:10PM ET,PHI,22.64
5230980153,MLB $5K Solo Shot [$1K to 1st] (Early),194430221,$1 ,Nick Lodolo (43939985),Grayson Rodriguez (43939986),J.T. Realmuto (43940060),Connor Joe (43940219),Juan Brito (43940216),Gage Workman (43940188),Leo Balcazar (43940199),Rob Refsnyder (43940221),Gabriel Rincones Jr. (43940217),Bryce Teodosio (43940222),,SP,Chase Burns (43940239),Chase Burns,43940239,P,10700,CIN@SF 08/26/2026 03:45PM ET,CIN,20.6
5230980154,MLB $5K Solo Shot [$1K to 1st] (Early),194430221,$1 ,Nick Lodolo (43939985),Grayson Rodriguez (43939986),J.T. Realmuto (43940060),Connor Joe (43940219),Juan Brito (43940216),Gage Workman (43940188),Leo Balcazar (43940199),Rob Refsnyder (43940221),Gabriel Rincones Jr. (43940217),Bryce Teodosio (43940222),,SP,Zack Wheeler (43940240),Zack Wheeler,43940240,P,10600,PHI@SEA 08/26/2026 04:10PM ET,PHI,19.95
