Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
5230980306,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
5230990215,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
5230990216,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
5230990217,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
5230990218,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
5230990219,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,,,,,,,,,
5230990220,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5230990221,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Jacob Misiorowski (43939419),Jacob Misiorowski,43939419,P,12300,MIL@NYM 08/26/2026 07:10PM ET,MIL,28.74
5230990222,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Cam Schlittler (43939073),Cam Schlittler,43939073,P,11000,HOU@NYY 08/26/2026 07:05PM ET,NYY,22.77
5230990223,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Tarik Skubal (43939420),Tarik Skubal,43939420,P,10700,LAD@ATL 08/26/2026 07:15PM ET,LAD,22.28
5230990224,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Yoshinobu Yamamoto (43939421),Yoshinobu Yamamoto,43939421,P,10700,LAD@ATL 08/26/2026 07:15PM ET,LAD,22.11
5230990225,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Dylan Cease (43939422),Dylan Cease,43939422,P,10500,KC@TOR 08/26/2026 07:07PM ET,TOR,25.42
5230990226,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Blake Snell (43939423),Blake Snell,43939423,P,10200,LAD@ATL 08/26/2026 07:15PM ET,LAD,20.36
5230990227,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Tyler Glasnow (43939424),Tyler Glasnow,43939424,P,10200,LAD@ATL 08/26/2026 07:15PM ET,LAD,21.39
5230990228,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Chris Sale (43939425),Chris Sale,43939425,P,10000,LAD@ATL 08/26/2026 07:15PM ET,ATL,22.97
5230990229,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Gerrit Cole (43939426),Gerrit Cole,43939426,P,9500,HOU@NYY 08/26/2026 07:05PM ET,NYY,19.53
5230990230,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Max Fried (43939427),Max Fried,43939427,P,9500,HOU@NYY 08/26/2026 07:05PM ET,NYY,17.43
5230990231,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Nathan Eovaldi (43939428),Nathan Eovaldi,43939428,P,9300,TEX@CWS 08/26/2026 07:40PM ET,TEX,17.65
5230990232,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,SP,Jacob deGrom (43939431),Jacob deGrom,43939431,P,9300,TEX@CWS 08/26/2026 07:40PM ET,TEX,17.31
5230990233,MLB $5K Solo Shot [$1K to 1st],194430267,$1 ,Elmer Rodriguez (43939538),Robert Stock (43939086),Victor Caratini (43939166),Josh Bell (43939120),Tommy Edman (43939184),Austin Riley (43939159),Tyler Tolbert (43939164),Sam Antonacci (43939124),Jake Bauers (43939116),Cody Bellinger (43939119),,RP,Kyle Harrison (43939429),Kyle Harrison,43939429,P,9300,MIL@NYM 08/26/2026 07:10PM ET,MIL,18.6
,,,,,,,,,,,,,,,SP,Logan Henderson (43939430),Logan Henderson,43939430,P,9300,MIL@NYM 08/26/2026 07:10PM ET,MIL,20.63
,,,,,,,,,,,,,,,SP,Spencer Schwellenbach (43939433),Spencer Schwellenbach,43939433,P,9000,LAD@ATL 08/26/2026 07:15PM ET,ATL,0
,,,,,,,,,,,,,,,SP,Sean Burke (43939074),Sean Burke,43939074,P,9000,TEX@CWS 08/26/2026 07:40PM ET,CWS,17.86
,,,,,,,,,,,,,,,SP,Nolan McLean (43939432),Nolan McLean,43939432,P,9000,MIL@NYM 08/26/2026 07:10PM ET,NYM,18.83
,,,,,,,,,,,,,,,SP,Peter Lambert (43939075),Peter Lambert,43939075,P,8700,HOU@NYY 08/26/2026 07:05PM ET,HOU,16.08
,,,,,,,,,,,,,,,SP,Hunter Brown (43939434),Hunter Brown,43939434,P,8700,HOU@NYY 08/26/2026 07:05PM ET,HOU,15.1
,,,,,,,,,,,,,,,SP,Cole Ragans (43939437),Cole Ragans,43939437,P,8500,KC@TOR 08/26/2026 07:07PM ET,KC,13.19
,,,,,,,,,,,,,,,SP,Michael Wacha (43939438),Michael Wacha,43939438,P,8500,KC@TOR 08/26/2026 07:07PM ET,KC,15.64
,,,,,,,,,,,,,,,SP,Carlos Rodon (43939435),Carlos Rodon,43939435,P,8500,HOU@NYY 08/26/2026 07:05PM ET,NYY,16
,,,,,,,,,,,,,,,RP,Ryan Weathers (43939436),Ryan Weathers,43939436,P,8500,HOU@NYY 08/26/2026 07:05PM ET,NYY,16.1
,,,,,,,,,,,,,,,SP,MacKenzie Gore (43939076),MacKenzie Gore,43939076,P,8300,TEX@CWS 08/26/2026 07:40PM ET,TEX,15.86
,,,,,,,,,,,,,,,RP,Jacob Latz (43939439),Jacob Latz,43939439,P,8300,TEX@CWS 08/26/2026 07:40PM ET,TEX,4.89
,,,,,,,,,,,,,,,RP,Cal Quantrill (43939441),Cal Quantrill,43939441,P,8300,TEX@CWS 08/26/2026 07:40PM ET,TEX,8.08
,,,,,,,,,,,,,,,SP,Brandon Woodruff (43939440),Brandon Woodruff,43939440,P,8300,MIL@NYM 08/26/2026 07:10PM ET,MIL,16.73
,,,,,,,,,,,,,,,SP,Taj Bradley (43939442),Taj Bradley,43939442,P,8200,MIN@ATH 08/26/2026 09:05PM ET,MIN,17.73
