Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5232127817,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,1. Column A lists all of your contest entries for this draftgroup
5232127818,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,2. Your current lineup is listed next to each entry (blank for reservations)
5232127819,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5232127820,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5232127821,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,5. For faster processing only include entries you are changing in the file you upload
5232127822,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,
5232127823,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5232127824,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Trevor Rogers (43947348),Trevor Rogers,43947348,P,8800,BAL@STL 08/27/2026 02:15PM ET,BAL,14.18
5232127825,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Shane Baz (43947441),Shane Baz,43947441,P,8800,BAL@STL 08/27/2026 02:15PM ET,BAL,14.38
5232127826,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Kyle Bradish (43947442),Kyle Bradish,43947442,P,8800,BAL@STL 08/27/2026 02:15PM ET,BAL,13.85
5232127827,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Brandon Young (43947443),Brandon Young,43947443,P,8800,BAL@STL 08/27/2026 02:15PM ET,BAL,13.95
5232127828,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Zach Eflin (43947444),Zach Eflin,43947444,P,8800,BAL@STL 08/27/2026 02:15PM ET,BAL,16.65
5232127829,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Cade Cavalli (43947445),Cade Cavalli,43947445,P,8300,COL@WSH 08/27/2026 01:05PM ET,WSH,17.83
5232127830,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Connelly Early (43947446),Connelly Early,43947446,P,8300,COL@WSH 08/27/2026 01:05PM ET,WSH,16.23
5232127831,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,RP,Andre Pallante (43947447),Andre Pallante,43947447,P,7700,BAL@STL 08/27/2026 02:15PM ET,STL,13.85
5232127832,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,RP,Kyle Leahy (43947448),Kyle Leahy,43947448,P,7700,BAL@STL 08/27/2026 02:15PM ET,STL,14.59
5232127833,MLB $1.25K Solo Shot (Early),194501882,$1,Cooper Hjerpe (43947472),Gabriel Hughes (43947351),Carlos Narvaez (43947411),Ryan Mountcastle (43947432),Jorbit Vivas (43947405),Blaze Alexander (43947426),Ezequiel Tovar (43947407),Dylan Beavers (43947385),Nathan Church (43947387),Jacob Young (43947384),,SP,Jake Irvin (43947349),Jake Irvin,43947349,P,7300,COL@WSH 08/27/2026 01:05PM ET,WSH,10.39
