Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
5232134955,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,1. Column A lists all of your contest entries for this draftgroup
5232135488,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,2. Your current lineup is listed next to each entry (blank for reservations)
5232135489,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5232135490,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5232135491,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,5. For faster processing only include entries you are changing in the file you upload
5232135492,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,
5232135493,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5232135494,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Jacob Misiorowski (43947543),Jacob Misiorowski,43947543,P,12000,MIL@NYM 08/27/2026 07:10PM ET,MIL,28.74
5232135495,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Tarik Skubal (43947792),Tarik Skubal,43947792,P,10600,LAD@ATL 08/27/2026 07:15PM ET,LAD,22.28
5232135496,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Cam Schlittler (43947793),Cam Schlittler,43947793,P,10500,HOU@NYY 08/27/2026 07:05PM ET,NYY,22.77
5232135497,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Dylan Cease (43947794),Dylan Cease,43947794,P,10300,KC@TOR 08/27/2026 07:07PM ET,TOR,25.42
5232135498,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Chris Sale (43947544),Chris Sale,43947544,P,10200,LAD@ATL 08/27/2026 07:15PM ET,ATL,22.97
5232135499,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Yoshinobu Yamamoto (43947545),Yoshinobu Yamamoto,43947545,P,9600,LAD@ATL 08/27/2026 07:15PM ET,LAD,22.11
5232135500,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Blake Snell (43947795),Blake Snell,43947795,P,9600,LAD@ATL 08/27/2026 07:15PM ET,LAD,20.36
5232135501,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Tyler Glasnow (43947796),Tyler Glasnow,43947796,P,9600,LAD@ATL 08/27/2026 07:15PM ET,LAD,21.39
5232135502,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Spencer Schwellenbach (43947797),Spencer Schwellenbach,43947797,P,9200,LAD@ATL 08/27/2026 07:15PM ET,ATL,0
5232135503,MLB $5K Solo Shot [$1K to 1st],194501907,$1,Spencer Arrighetti (43947551),Jose Cabrera (43947918),Hayden Senger (43947786),Juan Yepez (43947755),Alex Freeland (43947777),Christian Arroyo (43947757),Ronny Mauricio (43947749),A.J. Ewing (43947604),Jung Hoo Lee (43947609),Heliot Ramos (43947607),,SP,Nolan McLean (43947798),Nolan McLean,43947798,P,9100,MIL@NYM 08/27/2026 07:10PM ET,NYM,18.83
