Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5214946337,stock2mail (13/20),0,166.6,1B Joc Pederson 2B Ketel Marte 3B Junior Caminero C Gabriel Moreno OF Lars Nootbaar OF Victor Mesa Jr. OF Corbin Carroll P Blake Snell P Mitch Bratt SS Taylor Walls,,Hunter Brown,P,49.80%,8.45
2,5215222559,DrNickIsIn (19/20),0,163.45,1B Ty France 2B Ildemaro Vargas 3B Yandy Diaz C Luis Campusano OF Luis Rengifo OF Yordan Alvarez OF Jackson Merrill P Nick Martinez P Mitch Bratt SS Taylor Walls,,Blake Snell,P,37.15%,29.1
3,5215044009,whoisjohngalt420 (8/20),0,162.6,1B Tim Tawa 2B Ketel Marte 3B Junior Caminero C Gabriel Moreno OF Lars Nootbaar OF Victor Mesa Jr. OF Corbin Carroll P Blake Snell P Mitch Bratt SS Taylor Walls,,Corey Seager,SS,35.53%,0
4,5215401276,jnwallen (9/17),0,157.6,1B Yandy Diaz 2B Richie Palacios 3B Junior Caminero C Liam Hicks OF Kyle Tucker OF Alex Call OF Victor Mesa Jr. P Blake Snell P Mitch Bratt SS Mookie Betts,,Mitch Bratt,P,34.25%,14.5
5,5215346447,LOCNOTM (19/20),0,156.55,1B Yandy Diaz 2B Richie Palacios 3B Junior Caminero C Austin Wynns OF Brandon Nimmo OF Alex Call OF Victor Mesa Jr. P Blake Snell P Hunter Brown SS Taylor Walls,,Cody Bradford,P,28.77%,7.55
6,5215235868,A.Burgos930 (7/20),0,155.6,1B Yandy Diaz 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Lars Nootbaar OF Victor Mesa Jr. OF Corbin Carroll P Blake Snell P Mitch Bratt SS Taylor Walls,,Brandon Nimmo,OF,25.91%,8
6,5215416157,UniversalFriend (2/20),0,155.6,1B Yandy Diaz 2B Ketel Marte 3B Junior Caminero C James McCann OF Lars Nootbaar OF Victor Mesa Jr. OF Chandler Simpson P Blake Snell P Mitch Bratt SS Taylor Walls,,Corbin Carroll,OF,25.77%,14
8,5215075984,ivymoose (14/20),0,153.85,1B Jonathan Aranda 2B Ketel Marte 3B Junior Caminero C James McCann OF Victor Mesa Jr. OF Corbin Carroll OF Chandler Simpson P Blake Snell P Ryan Johnson SS Taylor Walls,,Junior Caminero,3B,24.97%,20
9,5215643004,bassguy39 (14/15),0,151.85,1B Yandy Diaz 2B Richie Palacios 3B Junior Caminero C Yainer Diaz OF Shohei Ohtani OF Victor Mesa Jr. OF Cam Smith P Blake Snell P Ryan Johnson SS Taylor Walls,,Jonathan Aranda,1B,24.76%,2
10,5215075976,ivymoose (6/20),0,151.6,1B Jonathan Aranda 2B Ketel Marte 3B Yandy Diaz C James McCann OF Victor Mesa Jr. OF Corbin Carroll OF Chandler Simpson P Blake Snell P Mitch Bratt SS Taylor Walls,,Chandler Simpson,OF,23.38%,8
10,5215362328,Daily_Big_Kahuna (2/5),0,151.6,1B Liam Hicks 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Victor Mesa Jr. OF Corbin Carroll OF Chandler Simpson P Blake Snell P Mitch Bratt SS Taylor Walls,,Ketel Marte,2B,22.95%,17
12,5215027701,morrisnick77,0,151.4,1B Jac Caglianone 2B Ketel Marte 3B Yandy Diaz C Gabriel Moreno OF Austin Hays OF Victor Mesa Jr. OF Henry Bolte P Nick Martinez P Hunter Brown SS Taylor Walls,,Lars Nootbaar,OF,21.57%,0
13,5215381384,FunkyKong (6/20),0,151.05,1B Joc Pederson 2B Vaughn Grissom 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Mickey Moniak OF Cole Carrigg P Blake Snell P Nick Martinez SS Taylor Walls,,Wyatt Langford,OF,21.10%,0
14,5215029971,az350z (19/20),0,150.35,1B Ty France 2B Richie Palacios 3B Junior Caminero C Luis Campusano OF Luis Rengifo OF Fernando Tatis Jr. OF Chandler Simpson P Tomoyuki Sugano P Hunter Brown SS Ezequiel Tovar,,Liam Hicks,C,21.03%,6
15,5215121864,thundrenterprises (8/20),0,149.65,1B Jeff McNeil 2B Ketel Marte 3B Junior Caminero C Gabriel Moreno OF Lawrence Butler OF Zack Gelof OF Victor Mesa Jr. P Blake Snell P Cody Bradford SS Taylor Walls,,Joc Pederson,1B,19.85%,20
16,5215039605,Satch65 (14/20),0,149.6,1B Yandy Diaz 2B Ketel Marte 3B Ezequiel Duran C Gabriel Moreno OF Lars Nootbaar OF Victor Mesa Jr. OF Corbin Carroll P Blake Snell P Mitch Bratt SS Taylor Walls,,Kyle Harrison,P,19.45%,-7.3
16,5215045703,FoxyGrandpa252 (5/20),0,149.6,1B Yandy Diaz 2B Ketel Marte 3B Nolan Arenado C Gabriel Moreno OF Cedric Mullins OF Victor Mesa Jr. OF Chandler Simpson P Blake Snell P Mitch Bratt SS Taylor Walls,,Jeff McNeil,2B,17.40%,3
18,5215346436,LOCNOTM (8/20),0,149.55,1B Joc Pederson 2B Richie Palacios 3B Junior Caminero C Austin Wynns OF Brandon Nimmo OF Cedric Mullins OF Victor Mesa Jr. P Blake Snell P Hunter Brown SS Taylor Walls,,Shohei Ohtani,OF,16.25%,2
19,5215621042,Makin-A-Run (4/20),0,148.95,1B Joc Pederson 2B Richie Palacios 3B Junior Caminero C Liam Hicks OF Lawrence Butler OF Corbin Carroll OF Chandler Simpson P Hunter Brown P Mitch Bratt SS Taylor Walls,,Gabriel Moreno,C,15.61%,3
20,5215023013,jw1984 (8/20),0,148.6,1B Joc Pederson 2B Jeff McNeil 3B Junior Caminero C Liam Hicks OF Shohei Ohtani OF Lawrence Butler OF Chandler Simpson P Blake Snell P Mitch Bratt SS Taylor Walls,,James McCann,C,15.51%,0
20,5215359191,Cuscus3 (4/20),0,148.6,1B Yandy Diaz 2B Jeff McNeil 3B Junior Caminero C Liam Hicks OF Carlos Cortes OF Victor Mesa Jr. OF Wyatt Langford P Blake Snell P Mitch Bratt SS Taylor Walls,,Victor Mesa Jr.,OF,14.03%,19
22,5215651668,colbyhornet (9/20),0,146.6,1B Yandy Diaz 2B Richie Palacios 3B Manny Machado C Liam Hicks OF Jose Siri OF Fernando Tatis Jr. OF Chandler Simpson P Blake Snell P Mitch Bratt SS Taylor Walls,,Yandy Diaz,3B,13.49%,18
23,5215063762,codyewell (12/20),0,146.05,1B Jonathan Aranda 2B Ketel Marte 3B Yandy Diaz C Austin Wynns OF Cedric Mullins OF Victor Mesa Jr. OF Corbin Carroll P Blake Snell P Carson Whisenhunt SS Taylor Walls,,Austin Wynns,C,13.16%,3
