Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
5229987113,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],193028206,$5,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,1. Column A lists all of your contest entries for this draftgroup
5230681933,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,2. Your current lineup is listed next to each entry (blank for reservations)
5230886123,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5230886134,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5230886135,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,5. For faster processing only include entries you are changing in the file you upload
5230894825,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,
5230894832,NFL $175K mini-MAX [150 Entry Max],193028212,$0.50,Jalen Hurts (43727237),Tyler Allgeier (43727395),Saquon Barkley (43727337),Jordan Addison (43727659),Chris Olave (43727639),DeVonta Smith (43727641),Dallas Goedert (43728233),Woody Marks (43727387),Jaguars (43728526),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,RB,Jahmyr Gibbs (43727325),Jahmyr Gibbs,43727325,RB/FLEX,8000,NO@DET 09/13/2026 01:00PM ET,DET,22.35
,,,,,,,,,,,,,,WR,Ja'Marr Chase (43727631),Ja'Marr Chase,43727631,WR/FLEX,7800,TB@CIN 09/13/2026 01:00PM ET,CIN,20.98
,,,,,,,,,,,,,,RB,Bijan Robinson (43727327),Bijan Robinson,43727327,RB/FLEX,7700,ATL@PIT 09/13/2026 01:00PM ET,ATL,23.22
,,,,,,,,,,,,,,WR,Amon-Ra St. Brown (43727633),Amon-Ra St. Brown,43727633,WR/FLEX,7500,NO@DET 09/13/2026 01:00PM ET,DET,19.94
,,,,,,,,,,,,,,RB,Jonathan Taylor (43727329),Jonathan Taylor,43727329,RB/FLEX,7300,BAL@IND 09/13/2026 01:00PM ET,IND,22.25
,,,,,,,,,,,,,,WR,Justin Jefferson (43727635),Justin Jefferson,43727635,WR/FLEX,7300,GB@MIN 09/13/2026 04:25PM ET,MIN,12.38
,,,,,,,,,,,,,,RB,James Cook III (43727331),James Cook III,43727331,RB/FLEX,7200,BUF@HOU 09/13/2026 01:00PM ET,BUF,18.81
,,,,,,,,,,,,,,RB,Chase Brown (43727333),Chase Brown,43727333,RB/FLEX,7100,TB@CIN 09/13/2026 01:00PM ET,CIN,17.15
,,,,,,,,,,,,,,QB,Josh Allen (43727234),Josh Allen,43727234,QB,7000,BUF@HOU 09/13/2026 01:00PM ET,BUF,23.30
,,,,,,,,,,,,,,WR,Nico Collins (43727637),Nico Collins,43727637,WR/FLEX,7000,BUF@HOU 09/13/2026 01:00PM ET,HOU,15.08
,,,,,,,,,,,,,,RB,De'Von Achane (43727335),De'Von Achane,43727335,RB/FLEX,7000,MIA@LV 09/13/2026 04:25PM ET,MIA,20.92
,,,,,,,,,,,,,,QB,Joe Burrow (43727235),Joe Burrow,43727235,QB,6900,TB@CIN 09/13/2026 01:00PM ET,CIN,18.18
,,,,,,,,,,,,,,RB,Saquon Barkley (43727337),Saquon Barkley,43727337,RB/FLEX,6900,WAS@PHI 09/13/2026 04:25PM ET,PHI,15.38
,,,,,,,,,,,,,,TE,Brock Bowers (43728215),Brock Bowers,43728215,TE/FLEX,6900,MIA@LV 09/13/2026 04:25PM ET,LV,15.18
,,,,,,,,,,,,,,QB,Lamar Jackson (43727236),Lamar Jackson,43727236,QB,6800,BAL@IND 09/13/2026 01:00PM ET,BAL,17.30
,,,,,,,,,,,,,,RB,Omarion Hampton (43727339),Omarion Hampton,43727339,RB/FLEX,6800,ARI@LAC 09/13/2026 04:25PM ET,LAC,13.86
,,,,,,,,,,,,,,TE,Trey McBride (43728217),Trey McBride,43728217,TE/FLEX,6800,ARI@LAC 09/13/2026 04:25PM ET,ARI,19.11
,,,,,,,,,,,,,,RB,Derrick Henry (43727341),Derrick Henry,43727341,RB/FLEX,6700,BAL@IND 09/13/2026 01:00PM ET,BAL,18.03
,,,,,,,,,,,,,,WR,Chris Olave (43727639),Chris Olave,43727639,WR/FLEX,6700,NO@DET 09/13/2026 01:00PM ET,NO,17.38
,,,,,,,,,,,,,,QB,Jalen Hurts (43727237),Jalen Hurts,43727237,QB,6600,WAS@PHI 09/13/2026 04:25PM ET,PHI,19.07
,,,,,,,,,,,,,,WR,DeVonta Smith (43727641),DeVonta Smith,43727641,WR/FLEX,6600,WAS@PHI 09/13/2026 04:25PM ET,PHI,12.38
,,,,,,,,,,,,,,RB,Ashton Jeanty (43727343),Ashton Jeanty,43727343,RB/FLEX,6600,MIA@LV 09/13/2026 04:25PM ET,LV,14.83
,,,,,,,,,,,,,,QB,Jayden Daniels (43727238),Jayden Daniels,43727238,QB,6500,WAS@PHI 09/13/2026 04:25PM ET,WAS,17.04
,,,,,,,,,,,,,,WR,Drake London (43727643),Drake London,43727643,WR/FLEX,6500,ATL@PIT 09/13/2026 01:00PM ET,ATL,18.16
,,,,,,,,,,,,,,WR,Zay Flowers (43727645),Zay Flowers,43727645,WR/FLEX,6400,BAL@IND 09/13/2026 01:00PM ET,BAL,15.02
,,,,,,,,,,,,,,RB,Jeremiyah Love (43727345),Jeremiyah Love,43727345,RB/FLEX,6400,ARI@LAC 09/13/2026 04:25PM ET,ARI,0
,,,,,,,,,,,,,,WR,Tee Higgins (43727647),Tee Higgins,43727647,WR/FLEX,6300,TB@CIN 09/13/2026 01:00PM ET,CIN,14.31
,,,,,,,,,,,,,,RB,Josh Jacobs (43727347),Josh Jacobs,43727347,RB/FLEX,6300,GB@MIN 09/13/2026 04:25PM ET,GB,15.37
,,,,,,,,,,,,,,QB,Caleb Williams (43727239),Caleb Williams,43727239,QB,6300,CHI@CAR 09/13/2026 01:00PM ET,CHI,19.81
,,,,,,,,,,,,,,WR,Emeka Egbuka (43727649),Emeka Egbuka,43727649,WR/FLEX,6200,TB@CIN 09/13/2026 01:00PM ET,TB,12.04
,,,,,,,,,,,,,,RB,Breece Hall (43727349),Breece Hall,43727349,RB/FLEX,6200,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,13.85
,,,,,,,,,,,,,,QB,Justin Herbert (43727240),Justin Herbert,43727240,QB,6100,ARI@LAC 09/13/2026 04:25PM ET,LAC,19.11
,,,,,,,,,,,,,,RB,D'Andre Swift (43727351),D'Andre Swift,43727351,RB/FLEX,6100,CHI@CAR 09/13/2026 01:00PM ET,CHI,14.69
,,,,,,,,,,,,,,WR,Tetairoa McMillan (43727651),Tetairoa McMillan,43727651,WR/FLEX,6100,CHI@CAR 09/13/2026 01:00PM ET,CAR,12.86
,,,,,,,,,,,,,,RB,David Montgomery (43727353),David Montgomery,43727353,RB/FLEX,6000,BUF@HOU 09/13/2026 01:00PM ET,HOU,10.05
,,,,,,,,,,,,,,QB,Jared Goff (43727241),Jared Goff,43727241,QB,6000,NO@DET 09/13/2026 01:00PM ET,DET,19.30
,,,,,,,,,,,,,,WR,Jameson Williams (43727653),Jameson Williams,43727653,WR/FLEX,6000,NO@DET 09/13/2026 01:00PM ET,DET,13.64
,,,,,,,,,,,,,,QB,Baker Mayfield (43727242),Baker Mayfield,43727242,QB,5900,TB@CIN 09/13/2026 01:00PM ET,TB,17.17
,,,,,,,,,,,,,,WR,Christian Watson (43727655),Christian Watson,43727655,WR/FLEX,5900,GB@MIN 09/13/2026 04:25PM ET,GB,13.46
,,,,,,,,,,,,,,RB,Travis Etienne Jr. (43727355),Travis Etienne Jr.,43727355,RB/FLEX,5900,NO@DET 09/13/2026 01:00PM ET,NO,15.69
,,,,,,,,,,,,,,WR,Ladd McConkey (43727657),Ladd McConkey,43727657,WR/FLEX,5900,ARI@LAC 09/13/2026 04:25PM ET,LAC,11.36
,,,,,,,,,,,,,,WR,Jordan Addison (43727659),Jordan Addison,43727659,WR/FLEX,5800,GB@MIN 09/13/2026 04:25PM ET,MIN,10.08
,,,,,,,,,,,,,,QB,Trevor Lawrence (43727243),Trevor Lawrence,43727243,QB,5800,CLE@JAX 09/13/2026 01:00PM ET,JAX,20.98
,,,,,,,,,,,,,,RB,Bhayshul Tuten (43727357),Bhayshul Tuten,43727357,RB/FLEX,5800,CLE@JAX 09/13/2026 01:00PM ET,JAX,5.92
,,,,,,,,,,,,,,WR,Garrett Wilson (43727661),Garrett Wilson,43727661,WR/FLEX,5800,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,14.21
