"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Jahmyr Gibbs","DET","rb","6","17","306.4","69","0","0","0","0","0","0","284.8433","1297.339","12.2818","88.724","72.5537","515.1016","3.0312","4.6345","2.1264","0.6335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Jonathan Taylor","IND","rb","13","17","293.6","65","0","0","0","0","0","0","322.0777","1457.4788","13.9425","60.7398","49.974","339.7827","1.4336","4.8946","2.2136","0.5498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Bijan Robinson","ATL","rb","11","17","292.6","64","0","0","0","0","0","0","259.1903","1176.0199","8.5455","107.8332","86.8178","633.0866","3.3246","4.4413","2.0586","0.572","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Christian McCaffrey","SF","rb","8","17","284.5","62","0","0","0","0","0","0","257.5708","1092.2641","8.4364","95.1595","78.7968","623.156","4.2959","4.3329","2.0013","0.5912","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","James Cook","BUF","rb","7","17","266.1","56","0","0","0","0","0","0","303.3759","1383.2016","11.9326","49.0995","39.6692","291.6926","1.6936","4.5306","2.041","0.5491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","De'Von Achane","MIA","rb","6","17","258.9","53","0","0","0","0","0","0","248.1718","1196.7625","8.8666","74.0493","60.2107","433.3213","2.5547","4.0054","1.8348","0.4562","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Ashton Jeanty","LV","rb","13","17","246","49","0","0","0","0","0","0","293.6974","1224.6201","7.2202","70.3996","58.603","399.3292","2.3673","4.6038","2.0961","0.4903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Chase Brown","CIN","rb","6","17","240.1","47","0","0","0","0","0","0","236.9007","1036.5205","6.9583","79.1514","64.4292","453.1296","3.2655","3.8985","1.7928","0.5753","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Kenneth Walker III","KC","rb","5","17","235.3","45","0","0","0","0","0","0","263.4639","1146.327","8.4742","63.3583","53.1995","372.6777","1.4436","4.1367","1.8841","0.5229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Derrick Henry","BLT","rb","13","17","228.5","43","0","0","0","0","0","0","275.5778","1315.6768","11.9193","23.2832","19.1325","137.5326","0.7874","3.9333","1.7535","0.4256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Saquon Barkley","PHI","rb","10","17","222.9","41","0","0","0","0","0","0","243.8669","1083.4875","8.2274","57.5215","46.5778","327.4906","1.9444","3.8003","1.7281","0.4764","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Josh Jacobs","GB","rb","11","17","220","40","0","0","0","0","0","0","265.2634","1128.55","10.3839","42.3264","35.0717","236.951","1.0482","3.9656","1.7869","0.4445","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Ja'Marr Chase","CIN","wr","6","17","261.9","40","0","0","0","0","0","0","2.1668","12.9554","0.0651","174.3904","123.1429","1415.4206","9.6051","1.3567","0.7455","0.4707","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Puka Nacua","LA","wr","11","17","261.2","40","0","0","0","0","0","0","11.956","72.7624","0.6247","173.3563","125.4417","1423.798","7.6192","1.5139","0.8174","0.5106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Kyren Williams","LA","rb","11","17","218.5","40","0","0","0","0","0","0","240.4003","1066.4167","8.5964","50.9159","40.257","297.0863","2.1481","3.6853","1.6698","0.4582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Javonte Williams","DAL","rb","14","17","218.2","40","0","0","0","0","0","0","273.7056","1187.7697","9.3676","39.5065","32.9983","217.68","1.2881","4.0574","1.8248","0.4571","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Omarion Hampton","LAC","rb","7","17","217.3","40","0","0","0","0","0","0","231.1048","981.0171","6.7546","69.9269","58.8006","402.2631","1.9429","3.7594","1.7249","0.4283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Jeremiyah Love","ARZ","rb","14","17","216.7","39","0","0","0","0","0","0","250.3274","1102.0479","8.6067","51.2138","40.8025","280.3601","1.5102","3.8254","1.7321","0.4297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Breece Hall","NYJ","rb","13","17","213.6","38","0","0","0","0","0","0","250.2747","1088.8201","6.4009","58.401","47.5489","347.5343","1.7645","3.8974","1.772","0.3952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Jaxon Smith-Njigba","SEA","wr","11","17","255.7","38","0","0","0","0","0","0","3.5272","21.1041","0.1015","172.4444","122.7064","1400.0217","8.6872","1.3704","0.751","0.4962","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Quinshon Judkins","CLV","rb","11","17","202.5","35","0","0","0","0","0","0","279.5083","1167.6984","6.9263","44.0878","35.7687","240.1229","0.8786","4.1658","1.8758","0.379","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
