Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
QB,C.J. Stroud (43837771),C.J. Stroud,43837771,QB,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,15,
QB,Justin Herbert (43837772),Justin Herbert,43837772,QB,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,19.1,
QB,Kirk Cousins (43837773),Kirk Cousins,43837773,QB,5500,LV@HOU 08/20/2026 08:00PM ET,LV,11.3,
QB,Brock Purdy (43837774),Brock Purdy,43837774,QB,5500,SF@LAC 08/20/2026 10:00PM ET,SF,20.1,
RB,David Montgomery (43837775),David Montgomery,43837775,RB/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,10.1,
RB,Omarion Hampton (43837777),Omarion Hampton,43837777,RB/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,13.9,
RB,Christian McCaffrey (43837779),Christian McCaffrey,43837779,RB/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,24.8,Q
RB,Ashton Jeanty (43837781),Ashton Jeanty,43837781,RB/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,14.8,
WR,Ladd McConkey (43837783),Ladd McConkey,43837783,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,11.4,
WR,Nico Collins (43837785),Nico Collins,43837785,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,15.1,
WR,Tre Tucker (43837787),Tre Tucker,43837787,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,9.7,
WR,Mike Evans (43837789),Mike Evans,43837789,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,11,Q
TE,George Kittle (43837791),George Kittle,43837791,TE/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,13.8,OUT
TE,Oronde Gadsden II (43837793),Oronde Gadsden II,43837793,TE/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,8.8,
TE,Dalton Schultz (43837795),Dalton Schultz,43837795,TE/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,9.9,
TE,Brock Bowers (43837797),Brock Bowers,43837797,TE/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,15.2,
DST,Texans (43837799),Texans,43837799,DST,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,10.6,
DST,49ers (43837800),49ers,43837800,DST,5500,SF@LAC 08/20/2026 10:00PM ET,SF,4.1,
DST,Chargers (43837801),Chargers,43837801,DST,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,6.7,
DST,Raiders (43837802),Raiders,43837802,DST,5500,LV@HOU 08/20/2026 08:00PM ET,LV,4.4,
QB,Trey Lance (43837803),Trey Lance,43837803,QB,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,3.9,
QB,Davis Mills (43837804),Davis Mills,43837804,QB,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,11.6,
QB,Fernando Mendoza (43837805),Fernando Mendoza,43837805,QB,5500,LV@HOU 08/20/2026 08:00PM ET,LV,0,
QB,Mac Jones (43837806),Mac Jones,43837806,QB,5500,SF@LAC 08/20/2026 10:00PM ET,SF,12.3,
RB,Kimani Vidal (43837807),Kimani Vidal,43837807,RB/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,9.6,
RB,Woody Marks (43837809),Woody Marks,43837809,RB/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,9.8,
RB,Mike Washington Jr. (43837811),Mike Washington Jr.,43837811,RB/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,0,
RB,Jordan James (43837813),Jordan James,43837813,RB/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,0.8,Q
WR,Quentin Johnston (43837815),Quentin Johnston,43837815,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,12,Q
WR,Jayden Higgins (43837817),Jayden Higgins,43837817,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,7.8,D
WR,Deebo Samuel Sr. (43837819),Deebo Samuel Sr.,43837819,WR/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,11.8,
WR,Jalen Nailor (43837821),Jalen Nailor,43837821,WR/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,6.1,
TE,David Njoku (43837823),David Njoku,43837823,TE/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,7.2,
TE,Foster Moreau (43837825),Foster Moreau,43837825,TE/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,1.2,
TE,Jake Tonges (43837827),Jake Tonges,43837827,TE/FLEX,5500,SF@LAC 08/20/2026 10:00PM ET,SF,5.6,
TE,Michael Mayer (43837829),Michael Mayer,43837829,TE/FLEX,5500,LV@HOU 08/20/2026 08:00PM ET,LV,5.7,
QB,Graham Mertz (43837831),Graham Mertz,43837831,QB,5500,LV@HOU 08/20/2026 08:00PM ET,HOU,0,IR
QB,DJ Uiagalelei (43837832),DJ Uiagalelei,43837832,QB,5500,SF@LAC 08/20/2026 10:00PM ET,LAC,0,
QB,Aidan O'Connell (43837833),Aidan O'Connell,43837833,QB,5500,LV@HOU 08/20/2026 08:00PM ET,LV,4.8,
