Rk.,Team,Venue,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1,Rockies,Coors Field,2024-2026,114,113,102,113,103,101,130,112,117,114,119,192,116,106,87,20961
2,Reds,Great American Ball Park,2024-2026,104,106,101,104,101,96,108,103,101,97,99,86,124,107,106,18903
3,Orioles,Oriole Park at Camden Yards,2024-2026,104,104,101,103,99,103,108,101,104,102,98,92,122,96,97,24277
4,Phillies,Citizens Bank Park,2024-2026,104,108,101,104,100,100,108,102,102,99,94,87,131,104,106,21625
5,Pirates,PNC Park,2024-2026,103,103,103,103,101,104,106,103,102,97,127,73,98,101,98,21021
6,Nationals,Nationals Park,2024-2026,103,102,105,103,104,103,106,103,106,108,99,99,108,94,92,24201
7,Red Sox,Fenway Park,2024-2026,103,101,100,102,100,102,106,104,105,101,136,86,83,97,91,22891
8,Astros,Daikin Park,2024-2026,102,104,103,102,101,105,104,100,98,97,88,64,124,108,109,17385
9,Yankees,Yankee Stadium,2024-2026,102,100,102,98,100,104,104,102,95,91,96,59,117,120,100,24721
10,Royals,Kauffman Stadium,2024-2026,101,99,100,101,101,104,102,102,105,104,124,184,77,96,90,21145
11,Marlins,loanDepot park,2024-2026,101,100,100,101,99,102,102,102,103,104,101,127,92,100,98,22299
12,D-backs,Chase Field,2024-2026,100,98,99,99,100,103,100,101,104,104,112,204,79,96,91,22616
13,Tigers,Comerica Park,2024-2026,100,101,99,100,99,99,100,99,100,101,89,202,99,97,101,22058
14,Mets,Citi Field,2024-2026,100,99,99,100,100,100,100,101,98,100,96,75,95,108,102,22685
15,Twins,Target Field,2024-2026,100,101,101,103,101,100,100,101,102,105,102,77,94,94,101,22922
16,White Sox,Rate Field,2024-2026,100,98,99,98,99,97,100,101,96,96,90,92,103,110,99,21702
17,Angels,Angel Stadium,2024-2026,99,98,97,98,98,99,98,100,97,99,94,87,95,103,99,17683
18,Braves,Truist Park,2024-2026,99,100,99,100,100,98,98,99,102,106,90,74,103,95,100,21428
19,Blue Jays,Rogers Centre,2024-2026,99,101,100,99,101,97,98,97,98,94,109,72,106,94,106,21852
20,Cubs,Wrigley Field,2024-2026,98,100,100,100,99,102,96,98,98,100,85,137,101,99,107,21201
21,Dodgers,UNIQLO Field at Dodger Stadium,2024-2026,98,100,103,97,102,103,96,97,95,92,91,59,119,99,105,23707
22,Guardians,Progressive Field,2024-2026,98,98,97,98,98,95,96,98,98,99,101,54,100,96,100,27086
23,Giants,Oracle Park,2024-2026,97,97,98,99,99,98,94,99,100,102,108,136,73,96,98,20774
24,Brewers,American Family Field,2024-2026,96,99,97,99,99,94,92,97,95,98,83,118,94,106,114,22166
25,Padres,Petco Park,2024-2026,96,94,98,95,98,96,92,97,94,96,91,78,93,104,99,21557
26,Rangers,Globe Life Field,2024-2026,95,94,100,95,100,99,90,95,97,99,91,82,94,92,98,21155
27,Cardinals,Busch Stadium,2024-2026,95,93,98,96,99,102,90,98,101,107,104,71,74,91,92,21586
28,Rays,Tropicana Field,2024-2026,94,94,98,95,99,91,88,94,95,96,91,103,91,97,105,12744
29,Mariners,T-Mobile Park,2024-2026,92,95,101,95,101,101,85,93,91,92,90,33,96,96,114,23435
