Rk.,Team,Venue,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1,Rockies,Coors Field,2024-2026,111,112,101,113,102,102,123,110,118,116,126,217,102,93,93,28930
2,D-backs,Chase Field,2024-2026,106,104,104,103,104,103,112,105,106,103,114,202,105,101,89,26285
3,Twins,Target Field,2024-2026,105,104,101,104,100,100,110,106,105,102,120,96,100,103,93,26467
4,Dodgers,UNIQLO Field at Dodger Stadium,2024-2026,103,102,101,99,101,99,106,101,99,95,94,71,132,107,97,27243
5,Blue Jays,Rogers Centre,2024-2026,103,100,101,100,100,102,106,102,103,104,100,69,109,102,92,29574
6,Red Sox,Fenway Park,2024-2026,102,103,98,105,99,98,104,103,104,107,103,88,91,97,103,26642
7,Royals,Kauffman Stadium,2024-2026,102,99,103,99,103,104,104,101,103,99,116,158,94,102,90,27119
8,Orioles,Oriole Park at Camden Yards,2024-2026,102,104,104,104,103,107,104,102,105,105,106,159,99,92,100,26030
9,Nationals,Nationals Park,2024-2026,101,100,99,101,100,101,102,102,102,105,95,97,98,99,95,24806
10,Angels,Angel Stadium,2024-2026,101,103,101,102,100,99,102,100,99,98,92,97,109,98,109,30392
11,Tigers,Comerica Park,2024-2026,100,99,97,99,98,97,100,100,99,100,94,66,104,102,98,26062
12,Yankees,Yankee Stadium,2024-2026,100,101,104,99,101,106,100,99,96,92,93,85,116,108,106,26514
13,Phillies,Citizens Bank Park,2024-2026,100,102,97,103,99,99,100,99,103,105,96,122,102,88,103,27415
14,Reds,Great American Ball Park,2024-2026,100,100,101,98,100,96,100,99,97,92,102,65,114,110,101,29216
15,Rays,Tropicana Field,2024-2026,100,101,101,99,99,95,100,98,101,97,101,133,114,90,100,17263
16,Braves,Truist Park,2024-2026,100,103,103,104,103,102,100,101,102,104,98,103,93,102,106,27371
17,Astros,Daikin Park,2024-2026,100,102,97,100,98,96,100,98,99,97,100,80,109,97,105,30911
18,Pirates,PNC Park,2024-2026,99,98,100,101,101,101,98,101,101,106,109,79,72,99,98,28405
19,Mets,Citi Field,2024-2026,99,98,102,97,101,102,98,99,95,93,95,85,107,108,103,28100
20,Guardians,Progressive Field,2024-2026,99,101,101,103,102,100,98,102,98,100,106,78,83,110,110,21467
21,Brewers,American Family Field,2024-2026,98,100,98,98,98,97,96,98,94,94,89,59,109,107,107,28115
22,Padres,Petco Park,2024-2026,98,99,102,97,101,100,96,97,97,97,86,68,115,100,104,27282
23,Cardinals,Busch Stadium,2024-2026,98,95,98,97,99,102,96,100,103,107,108,82,78,94,88,26303
24,Marlins,loanDepot park,2024-2026,98,96,99,98,100,99,96,100,98,98,109,141,81,101,96,27237
25,White Sox,Rate Field,2024-2026,97,96,98,98,99,99,94,99,99,103,96,51,88,98,97,26909
26,Giants,Oracle Park,2024-2026,97,96,97,98,97,97,94,98,101,102,105,140,83,92,96,27128
27,Cubs,Wrigley Field,2024-2026,95,93,99,93,99,100,90,96,93,96,76,106,101,106,98,28381
28,Rangers,Globe Life Field,2024-2026,92,92,97,93,96,101,85,92,93,94,92,77,92,96,104,26947
29,Mariners,T-Mobile Park,2024-2026,90,94,99,93,99,95,81,90,88,88,85,44,96,94,120,24459
